,Iteration,Local,Global
0,0,2.109532356262207,0.0
1,1,1.218822956085205,0.0
2,2,1.1407012939453125,0.0
3,3,1.2188351154327393,0.015622138977050781
4,4,1.234464168548584,0.015623092651367188
5,5,1.2500882148742676,0.0
6,6,1.234459400177002,0.0
7,7,1.2188334465026855,0.0
8,8,1.2032074928283691,0.015623807907104492
9,9,1.2500879764556885,0.015623807907104492
10,10,1.1875824928283691,0.0
11,11,1.2813363075256348,0.0
12,12,1.2813386917114258,0.0
13,13,1.2344605922698975,0.01562356948852539
14,14,1.1407029628753662,0.015624523162841797
15,15,1.281341552734375,0.015625
16,16,1.2969624996185303,0.0
17,17,1.3125910758972168,0.0
18,18,1.2188339233398438,0.0156252384185791
19,19,1.2500863075256348,0.0
20,20,1.2056519985198975,0.0
21,21,1.234459400177002,0.015627145767211914
22,22,1.2188327312469482,0.0
23,23,1.2708070278167725,0.0
24,24,1.250091791152954,0.015625
25,25,1.2657124996185303,0.0
26,26,1.1447193622589111,0.015624523162841797
27,27,1.265711784362793,0.015625953674316406
28,28,1.2500860691070557,0.0
29,29,1.2344608306884766,0.0
30,30,1.2188293933868408,0.0
31,31,1.2813374996185303,0.0
32,32,1.1875853538513184,0.0
33,33,1.2969598770141602,0.0
34,34,1.2344615459442139,0.0
35,35,1.2619352340698242,0.015620946884155273
36,36,1.265716314315796,0.015620708465576172
37,37,1.156334400177002,0.015618085861206055
38,38,1.2188382148742676,0.015625476837158203
39,39,1.2657115459442139,0.0
40,40,1.2371528148651123,0.0
41,41,1.2657115459442139,0.0
42,42,1.2500858306884766,0.015623807907104492
43,43,1.1586627960205078,0.015622377395629883
44,44,1.265714168548584,0.015625715255737305
45,45,1.2969648838043213,0.0
46,46,1.2344586849212646,0.0156252384185791
47,47,1.2344605922698975,0.0
48,48,1.1898481845855713,0.015625953674316406
49,49,1.2500879764556885,0.0
50,50,1.2344579696655273,0.015625
51,51,1.2500848770141602,0.0
52,52,1.268054723739624,0.0
53,53,1.2969610691070557,0.015625715255737305
54,54,1.1719577312469482,0.0
55,55,1.23445725440979,0.015626907348632812
56,56,1.2438311576843262,0.015622377395629883
57,57,1.2657146453857422,0.015622854232788086
58,58,1.1875813007354736,0.0
59,59,1.281337022781372,0.0
60,60,1.2032098770141602,0.0
61,61,1.2500836849212646,0.01563429832458496
62,62,1.2344536781311035,0.015623807907104492
63,63,1.2708401679992676,0.015625476837158203
64,64,1.2344636917114258,0.015623807907104492
65,65,1.2657127380371094,0.015625476837158203
66,66,1.17195463180542,0.0
67,67,1.2344613075256348,0.0
68,68,1.2680542469024658,0.0156252384185791
69,69,1.2813401222229004,0.015620946884155273
70,70,1.234464168548584,0.0
71,71,1.2969622611999512,0.0
72,72,1.1733853816986084,0.0
73,73,1.250087022781372,0.0
74,74,1.2344603538513184,0.015623331069946289
75,75,1.267427682876587,0.015624761581420898
76,76,1.2500872611999512,0.0
77,77,1.3125884532928467,0.015626192092895508
78,78,1.1562714576721191,0.015624523162841797
79,79,1.2032084465026855,0.0156252384185791
80,80,1.2671279907226562,0.015623807907104492
81,81,1.2500889301300049,0.015623331069946289
82,82,1.2050411701202393,0.015625715255737305
83,83,1.2813401222229004,0.0
84,84,1.2032051086425781,0.0
85,85,1.2500874996185303,0.015622615814208984
86,86,1.2188358306884766,0.0
87,87,1.2969610691070557,0.0
88,88,1.2367429733276367,0.015623092651367188
89,89,1.281341314315796,0.015622854232788086
90,90,1.1563470363616943,0.0
91,91,1.2500708103179932,0.015624046325683594
92,92,1.2525606155395508,0.0
93,93,1.265711784362793,0.015624761581420898
94,94,1.2344601154327393,0.01562356948852539
95,95,1.1866250038146973,0.0
96,96,1.2657108306884766,0.0
97,97,1.250084400177002,0.0
98,98,1.2344622611999512,0.0
99,99,1.2969622611999512,0.0
100,100,1.2213070392608643,0.015625715255737305
101,101,1.1719584465026855,0.0
102,102,1.2344586849212646,0.0
103,103,1.2657122611999512,0.015623331069946289
104,104,1.252427339553833,0.01562190055847168
105,105,1.3125898838043213,0.0
106,106,1.125082015991211,0.015622615814208984
107,107,1.253272533416748,0.0
108,108,1.2657105922698975,0.0
109,109,1.281339406967163,0.015622138977050781
110,110,1.2188353538513184,0.0
111,111,1.296964406967163,0.0
112,112,1.2054569721221924,0.0
113,113,1.2500898838043213,0.015624523162841797
114,114,1.2129733562469482,0.015622854232788086
115,115,1.2657136917114258,0.0
116,116,1.268052577972412,0.015628337860107422
117,117,1.2657153606414795,0.0
118,118,1.1407005786895752,0.0
119,119,1.2813389301300049,0.0
120,120,1.2835655212402344,0.0
121,121,1.281339168548584,0.015624523162841797
122,122,1.237617015838623,0.015627384185791016
123,123,1.2969651222229004,0.0
124,124,1.1875810623168945,0.0
125,125,1.2344591617584229,0.015624284744262695
126,126,1.2032101154327393,0.0
127,127,1.2838525772094727,0.0
128,128,1.2813396453857422,0.015623092651367188
129,129,1.2657122611999512,0.0
130,130,1.1407058238983154,0.015622377395629883
131,131,1.2525043487548828,0.015622615814208984
132,132,1.2500886917114258,0.015623807907104492
133,133,1.2188339233398438,0.0
134,134,1.2344601154327393,0.015624046325683594
135,135,1.2838366031646729,0.0
136,136,1.1719725131988525,0.0
137,137,1.2813191413879395,0.01562786102294922
138,138,1.2344584465026855,0.0
139,139,1.2839586734771729,0.0
140,140,1.2813405990600586,0.015622615814208984
141,141,1.2813396453857422,0.015624046325683594
142,142,1.0938258171081543,0.0
143,143,1.2680284976959229,0.0
144,144,1.2813351154327393,0.0
145,145,1.2657110691070557,0.015625953674316406
