,Timestep,P Feed In,P Feed Out,P DER,P Local Gen,P Local Dem,Q Feed In,Q Feed Out,Q Local Dem,FT,GT,Surplus,Spot,Shadow Price 0,Shadow Price 1,Shadow Price 2,Shadow Price 3,Shadow Price 4,Shadow Price 5,Shadow Price 6,Shadow Price 7,Shadow Price 8,Shadow Price 9,Shadow Price 10,Shadow Price 11,Shadow Price 12,Shadow Price 13,Shadow Price 14,Shadow Price 15,DER1,gP1,B1,DER2,gP2,B2,DER3,gP3,B3,DER4,gP4,B4,DER6,gP6,B6,DER7,gP7,B7,DER8,gP8,B8,DER11,gP11,B11,DER12,gP12,B12,DER13,gP13,B13,Balance N0,Balance N1,Balance N2,Balance N3,Balance N4,Balance N5,Balance N6,Balance N7,Balance N8,Balance N9,Balance N10,Balance N11,Balance N12,Balance N13,Balance N14,Balance N15
0,2013-11-01 00:00:00,7.277221694442314e-10,0.01184989599388194,0.0067797363075,0.030081365229663294,0.004165080000000001,2.8116811768969583e-09,-1.4193620043382963e-09,0.0020825400000000003,65.78295485777696,84.37182114222304,1.325400666938366,75.077388,63.58018989753348,134.18625288888543,202.6465639771716,330.59809165353954,482.24991211007443,500.6552312002286,511.11890322623094,515.8446142492123,543.7079824236339,537.4793956733296,563.6343933941556,580.9541631595944,586.3198801859385,136.2641169310643,176.1138767857814,185.6357210350045,0.0,0.005947250825588356,0.00405275047592942,0.0,0.005985225930772496,0.004014768967650819,0.0,0.005999914268438006,0.004000086316660574,0.0,0.0018455093591468886,0.008154490590598168,0.0,0.0006634341891509837,0.00933656574069081,0.0024485786550000003,0.0015513882705882856,0.028448611629697036,0.0,0.000506479802869546,0.009493520242681202,0.0,0.0006002484439308075,0.009399751552421839,0.0043311576525,0.000982706740282183,0.029017293247674943,0.0,0.005999866208864002,0.004000133659822275,-0.7534185912883212,0.3604728983699425,0.36288736276892897,0.3638212500669812,0.09968339702300658,-0.017693898286772397,0.02452683324150777,0.23666421822352846,0.01454764355648314,-0.017657148300816657,-0.01765660036858517,0.020509471561591802,0.3202020686936047,0.36381819443013963,-0.01765481004528245,-0.0176516227075709
1,2013-11-01 01:00:00,0.011058836484851606,-7.191953899236632e-10,0.006114559553749949,0.005494126519035547,0.0034434975000000017,6.033579643101905e-09,-3.0458054697423483e-09,0.0017217487500000008,44.81063089957695,63.39949718402305,1.2583125657253915,54.1050640418,65.45520591435252,134.18614733643474,200.39754041093008,328.7226034010318,482.24987739507907,500.67026686276944,511.1189030329492,515.8446227892947,543.707990108179,537.5691975155031,563.6677116836403,580.9541675421972,586.3198853157269,134.3516482610526,172.0196558291275,180.65309443347425,0.0,5.667639245173565e-05,0.003996075384296618,0.0,2.7060742703605985e-05,0.003987717892558794,0.0,-0.00010449007410284769,0.004104577059635092,0.0,-1.4796842235195723e-05,0.008169287382593168,0.0,0.0006718939245427826,0.008664671746014867,0.00207483727624995,0.002029139088119965,0.026419472441874932,0.0,0.0009140940399755341,0.008579426248252076,0.0,0.0008379125215838747,0.00856183902719265,0.0040397222774999995,0.0012590308001253735,0.027758262435509086,0.0,-0.00018173981012918245,0.004181873472392682,-0.029560124924122633,0.34915634077981633,0.3496323067262516,0.34195550822203613,0.08368854413908244,-0.03276088284354447,0.053479465896520834,0.4902645136924598,0.059353534639626906,-0.03268619357185515,-0.032685111364958906,0.06032888567154147,0.6520067199503454,0.33689605520676147,-0.03268131740517582,-0.03267501215102803
2,2013-11-01 02:00:00,0.03561296469480146,-8.047452009573684e-10,0.0051794656812498,-0.01843144480641319,0.003127927500000001,6.973464308869566e-09,-3.5202678377468363e-09,0.0015639637500000005,26.932266857776956,45.52113314222305,1.0028342982673208,36.2267,52.14117550500544,129.53250750210682,199.87550585117194,328.7225025554849,482.2498734836753,500.67468969512635,511.1189025830313,515.8446287427624,543.7079947991967,537.6470563680779,563.6978583281063,580.9541702012522,586.3198972544426,134.35154185355873,176.54813351789994,187.08369682227453,0.0,-0.007901727668914858,0.011897800428717471,0.0,-0.005796100425567984,0.009783815703435225,0.0,-0.0058023391501014765,0.009906916868664118,0.0,-0.000210796835201683,0.008380084167581795,0.0,0.0006853984766983154,0.00797927319923259,0.0017848978787499,0.002386070590907745,0.024033401751288784,0.0,0.0011548891214264883,0.0074245371723640095,0.0,0.0009847554447225961,0.007577083578827028,0.0033945678024999,0.0019020091801139993,0.02585625324335459,0.0,-0.005832954168902903,0.010014827643896478,1.8273417594414438,-0.0737219495141263,0.036543896075779125,0.0285418031407354,0.06182442824263626,-0.04366623506678752,0.07834402704461556,0.6968707915784276,0.10869788989245144,-0.04356123660933123,-0.043559748742258445,0.10080227102803652,0.9173035488602934,0.021886047057046498,-0.04355591794838722,-0.04354384354949653
3,2013-11-01 03:00:00,0.03180150788409172,-7.941703474262166e-10,0.0042044783924998505,-0.013840880702107766,0.0029431799999999997,8.027647133679214e-09,-4.052428804780889e-09,0.0014715899999999998,28.655480899576954,47.24434718402304,1.0217584688879346,37.9499140418,53.155882989654515,129.53257796419288,199.87550112164658,328.7225067424413,482.2498817180273,500.66784690868684,511.1189012971117,515.8446272927031,543.7079954737113,537.6133914380547,563.6836740116834,580.9541701745737,586.3199156068201,134.35153986904223,176.47039550433212,186.98685136141216,0.0,-0.004107400784305487,0.016005198588321074,0.0,-0.006214916699020438,0.01599872978767899,0.0,-0.0059926001086625744,0.01589951762096152,0.0,0.0002537951094517362,0.008126289007960332,0.0,0.0006727672317702685,0.007306505897452039,0.0018079366862499,0.0023630494429095865,0.021670352208738437,0.0,0.0011738345963306532,0.0062507026215618735,0.0,0.000989013975848529,0.0065880695993414074,0.0023965417062499503,0.0028903784366925383,0.022965874794621845,0.0,-0.005868151921893697,0.015882979568519515,3.517779033637625,-0.3024842871094501,-0.3042453108809673,-0.3004299691522894,0.06488530927083322,-0.05412913838062361,0.10367574118270365,0.9081534200983352,0.1606642822310459,-0.05399323660402525,-0.05399132891929418,0.14294436009020783,1.1879046352410259,-0.3004705719818172,-0.053987446490820594,-0.05396949241347591
4,2013-11-01 04:00:00,0.01033861421512813,-7.23920830459126e-10,0.00376233025874985,0.007978297648146447,0.0029299500000000006,8.94628085272744e-09,-4.5161634621969375e-09,0.0014649750000000003,44.19380083687696,62.782667121323044,1.2390453169489326,53.4882339791,64.70449467335253,133.96477439875454,200.65237086158376,328.7226265427458,482.2498763626587,500.66226162760074,511.1188994384263,515.8446257111119,543.7079932769029,537.5377521850842,563.656486346974,580.9541682606792,586.319922949821,134.35164546933018,172.59006043907377,181.4501664651557,0.0,6.1659092776670675e-06,0.01599903525342197,0.0,-1.5155265202716456e-05,0.01601388116800452,0.0,-0.00010170522697285306,0.016001223470333677,0.0,-5.48361718785168e-06,0.00813177257503328,0.0,0.0006481411161678027,0.006658364711373789,0.0017726700324999,0.00235127053508085,0.01931908157406496,0.0,0.0010325375584039796,0.005218165108668469,0.0,0.0008936420735271606,0.005694427522185191,0.00198966022624995,0.0032868548526145025,0.019679019929967338,0.0,-0.00011731340350506673,0.016000292974851518,4.186733888891162,-0.3147240540099828,-0.31786465360209565,-0.31964948341375243,0.05189176564716522,-0.06680811425731718,0.13297465563681804,1.1623521816420403,0.21483537423428667,-0.0666346700496136,-0.06663223126680938,0.18812828993208375,1.516680148110729,-0.3207000054185696,-0.0666264987333504,-0.06660527657484773
5,2013-11-01 05:00:00,0.009183553684601574,-7.149229548279515e-10,0.0044438281074999,0.009323760067635868,0.0035043899999999987,4.893920571837281e-09,-2.4704953992567988e-09,0.0017521949999999994,49.402612836876955,67.99147912132304,1.3554113135025234,58.6970459791,69.69859406082357,137.38802060351313,202.6892434427529,329.10869271272276,482.2499105282306,500.65973568652396,511.1189022431297,515.8446176578703,543.7079909132073,537.5015687190019,563.646273476353,580.9541659982076,586.3199150215961,136.54293865583912,174.45944191955178,183.63949473863565,0.0,1.6274688560825776e-06,0.015997409394321958,0.0,2.7444541357995544e-05,0.01598644662311872,0.0,3.439165835153318e-06,0.01599778613652078,0.0,0.0018684810136774933,0.006263291511312959,0.0,0.0008931757616418378,0.005765188879946569,0.00202044190624995,0.00200965408903006,0.017309427385503527,0.0,0.0008764868634460292,0.0043416782907163675,0.0,0.0007814080615929481,0.004913019456971186,0.00242338620124995,0.002862169549843593,0.016816850368086445,0.0,5.472697017975985e-07,0.015999746000984565,4.826814719019112,-0.33089402545489005,-0.3322352113908532,-0.3356931821263542,0.16583886159377498,-0.08313479820999858,0.17894434673640544,1.4269608027071585,0.259641872593202,-0.08292102343835063,-0.08291799412532475,0.2263079294768517,1.8687925490559953,-0.3369452652258362,-0.08290988990150176,-0.08288706103892118
6,2013-11-01 06:00:00,0.0003501794382279348,4.441925726298311e-08,0.004772231704999951,0.019081614310627406,0.005518304999999999,-8.775756967507936e-09,4.43008147818519e-09,0.0027591524999999997,67.06557389957696,85.65444018402304,1.6017133034782987,76.3600070418,85.71877734113542,141.14580933072477,207.5881952313443,333.0096123990426,482.249897342995,500.6415519370095,511.118910646289,515.8446468080568,543.7079754900191,537.3437150952192,563.5969968294572,580.9541608324193,586.3199347143758,143.4537599550669,183.85653725185276,193.483489684995,8.8992e-07,0.0011605292700691168,0.01483687914313649,8.8992e-07,0.00021114341386360637,0.01577529965203708,8.8992e-07,0.002372448603631237,0.013625337134880554,8.8992e-07,0.001202357392416205,0.005060934068939368,8.8992e-07,0.0014581403434764514,0.004307048466830986,0.0019273339624999502,0.003687717797836159,0.013621709488210553,8.8992e-07,1.2119083844511893e-05,0.00432955925233791,8.8992e-07,0.0005148734589088986,0.004398145994451284,0.0028377783825,0.003923737660385901,0.012893112695663008,8.8992e-07,0.004539191315471536,0.011460554727264878,4.856827864749594,-0.2628734163413319,-0.3455947970961984,-0.1637883295037674,0.23744492621340096,-0.11472260371576044,0.27247581318562325,1.8767413504706618,0.22922216465748138,-0.11445965088887113,-0.11445581556103376,0.23898371187455694,2.4168466133849487,0.020690123468517174,-0.11444658551521115,-0.11441543563384114
7,2013-11-01 07:00:00,7.222563909759502e-10,0.010920554809804448,0.004742699533749901,0.034549262445209776,0.008142427499998496,-1.6556665265535204e-08,8.357954440284533e-09,0.004071213749999248,73.34160881597695,91.93047510042304,1.4425609150552872,82.6360419582,71.31159787310051,141.14596956699617,207.58837603569546,333.00969764095527,482.24987397288305,500.5659222000187,511.1188834732537,515.8445900040675,543.7079779495969,536.7256086189494,562.7578558464412,580.9541546061558,586.3198705892133,143.4538165644439,185.26431347382504,195.2720304319774,1.3232805e-05,0.00968974729944715,0.00514713086237065,1.3232805e-05,0.00977852705425736,0.0059967690402984945,1.3232805e-05,0.0059625817335977205,0.007662754969448082,1.3232805e-05,-4.501515038077994e-06,0.005065435534118154,1.3232805e-05,0.00012797825083718886,0.004179070146531097,0.00227046559999995,0.0007601057970740892,0.012861603591764185,1.3232805e-05,0.00010399578857375969,0.004225563509207658,1.3232805e-05,0.00019316955187371674,0.004204976438980399,0.00236637149374995,0.00047662932133195405,0.012416483362293798,1.3232805e-05,0.007461666241259995,0.003998888527648804,4.0780657031069225,0.39035163133164696,0.3139612767510786,0.22364658613088975,0.19935760074602776,-0.15347561822610195,0.2438358315086696,2.054146271558475,0.19887195527559126,-0.15317280299795644,-0.1531685397516051,0.2149926260419444,2.5808755765569154,0.5150271506913813,-0.1531582041495281,-0.15312019577029456
8,2013-11-01 08:00:00,0.014311075998645057,-6.502633107358179e-10,0.0037550480249999994,0.00973010968027136,0.0079171275,-1.566851131167729e-08,7.909606414611677e-09,0.00395856375,56.94168381597696,75.53055010042304,1.55436353916458,66.2361169582,78.19081362992743,141.14580942139077,207.58822850816117,333.00967151950346,482.249892773902,500.5501128770378,511.11888160244615,515.8445891310652,543.7079810845133,536.6354106003108,562.7222586608524,580.9541545428693,586.3198694110728,142.33694518280666,181.62307231100164,190.2360523476476,0.0001095102,0.0011440369233578175,0.004003092957825442,0.0001095102,0.001982549555084048,0.004014215927837555,0.0001095102,0.003658646127724247,0.004004108375022209,0.0001095102,0.001064415194635016,0.004001020289736865,0.0001095102,0.0001776366317218454,0.004001433445541365,0.0016085304112500001,0.0008596057939086145,0.01200199769858119,0.0001095102,0.00022643591292750614,0.003999127641689287,0.0001095102,0.0002048800434563356,0.004000096391940461,0.00127043601375,0.0004161601038448146,0.012000323246412762,0.0001095102,-3.637016518321802e-06,0.004002524474314876,5.197060430205323,0.44709772477465815,0.43627135510773546,0.47701201922461656,0.24987800643758176,-0.19479263172238875,0.22501829985646501,2.2058620735335173,0.1838700791254129,-0.19444613209716494,-0.19444137275799117,0.1983052789193147,2.671482123200939,0.4820356849936127,-0.1944293310814606,-0.19438321975153472
9,2013-11-01 09:00:00,0.021247356608920846,-7.300950329874889e-10,0.00518351073374985,5.4962691675712656e-05,0.008143184999999997,-1.6761737390791664e-08,8.461476555389407e-09,0.004071592499999999,46.69050485777696,65.27937114222304,1.26984321072653,55.984938,69.22901020027406,139.56229761725098,206.14754416968728,330.7969936345951,477.817695909217,492.9322258356689,501.4499597901876,505.5876941581395,538.142530326513,531.8009226420957,557.5331076627959,574.6871215601328,579.9228920240486,141.42825394708214,181.47999160393434,190.58555185220447,0.0003303435,4.878155581195626e-06,0.003998216914246733,0.0003303435,2.910777019231953e-05,0.003985118816431549,0.0003303435,8.23027746831962e-06,0.003995881721583642,0.0003303435,2.207760618908297e-06,0.003998813499724989,0.0003303435,3.132415920133634e-06,0.003998302393911381,0.00125275627249995,4.268166289143846e-06,0.011997731430771479,0.0003303435,-1.7458140546125563e-06,0.004000872628775884,0.0003303435,2.554163455622207e-07,0.003999841068411737,0.0012880064612499,8.345047758221889e-07,0.011999489052848639,0.0003303435,4.3147132609377e-06,0.003998211215900686,6.667993948156922,0.4327218123597269,0.4235728349298664,0.4628681708900016,0.23531722522256757,-0.23241334196437052,0.2105215316127311,2.2553016553999266,0.169035595848998,-0.23203168158549087,-0.23202655322534885,0.1836093388426866,2.72312433175595,0.46762076602454505,-0.2320150257809704,-0.231957009792574
