,Timestep,Status,Obj,P Feed In,P Feed Out,P Local Gen,P Local Dem,Q Feed In,Q Feed Out,Q Local Gen,Q Local Dem,FT,GT,Alpha,Surplus,Spot,Shadow Price 0,Shadow Price 1,Shadow Price 2,Shadow Price 3,Shadow Price 4,Shadow Price 5,Shadow Price 6,Shadow Price 7,Shadow Price 8,Shadow Price 9,Shadow Price 10,Shadow Price 11,Shadow Price 12,Shadow Price 13,Shadow Price 14,Shadow Price 15,GenP[1],GenP[2],GenP[3],GenP[4],GenP[6],GenP[7],GenP[8],GenP[11],GenP[12],GenP[13],GenQ[1],GenQ[2],GenQ[3],GenQ[4],GenQ[6],GenQ[7],GenQ[8],GenQ[11],GenQ[12],GenQ[13],Alpha[0],Alpha[1],Alpha[2],Alpha[3],Alpha[4],Alpha[5],Alpha[6],Alpha[7],Alpha[8],Alpha[9],Alpha[10],Alpha[11],Alpha[12],Alpha[13],Alpha[14],Alpha[15],FloP[1],FloP[2],FloP[3],FloP[4],FloP[5],FloP[6],FloP[7],FloP[8],FloP[9],FloP[10],FloP[11],FloP[12],FloP[13],FloP[14],FloP[15],FloQ[1],FloQ[2],FloQ[3],FloQ[4],FloQ[5],FloQ[6],FloQ[7],FloQ[8],FloQ[9],FloQ[10],FloQ[11],FloQ[12],FloQ[13],FloQ[14],FloQ[15],Balance N0,Balance N1,Balance N2,Balance N3,Balance N4,Balance N5,Balance N6,Balance N7,Balance N8,Balance N9,Balance N10,Balance N11,Balance N12,Balance N13,Balance N14,Balance N15
0,2013-11-01 00:00:00,optimal,0.5054569955014391,-6.7819630659990435e-12,0.0003547442250398568,0.004519824206430892,0.004165080000000001,1.3474895822710091,1.3470531125841803,0.0016460703129692054,0.0020825400000000003,64.14682420276118,84.06027979723883,4.062495934501739,-1.6287163839834307e-09,74.10355200000001,64.14682456127906,64.14682456127267,64.14682456127025,64.1468245610524,64.14682456071661,64.14682456070197,64.14682456069286,64.14682456068005,64.14682456064308,64.14682456065809,64.14682456064934,64.14682456063508,64.14682456063203,64.14682456127285,64.14682456129117,64.14682456129614,4.0471631782983696e-13,4.0113809295532733e-13,6.721385438529706e-14,-3.6467272731583143e-13,-3.927170210935098e-13,0.0016323857699191765,-4.4052686295869366e-13,-4.4776360188724287e-13,0.0028874384377779415,4.0285876457494607e-13,-2.2133624619893467e-13,-3.6524633120015034e-13,-3.709934661779356e-13,4.062238348007202e-14,8.870961557462329e-14,0.0006123493648082658,2.0521272039710423e-13,2.2499577287523825e-13,0.001033720948846502,-2.35514307080571e-13,0.999999999996493,-2.1568783417080094e-13,-2.149033306462754e-13,-1.505353751737696e-13,-7.31626448539901e-14,-7.0080180828054e-14,-6.828543265590508e-14,3.1134915385155354e-12,-5.99239917259158e-14,-6.255576686453986e-14,-6.106658805251805e-14,-5.871038744184132e-14,2.0601037838861346e-12,-2.1561111279864175e-13,-2.0570226216217751e-13,-2.0265186047761458e-13,-0.0003547442302399897,-0.0014654322227597957,-0.0017431042207765252,-0.0020207762191242007,-0.0007993697739146741,-0.0010770417727068795,-0.0013547137715094759,0.0002776719988496977,-0.0014990784439844068,-0.0020544224416688484,-0.0023320944405121127,-0.0026097664393689305,0.0008330159945066226,0.0005553439964915778,0.00027767199821314865,0.000436469686829002,-0.00011887431409802324,-0.00025771031445609546,-0.0003965463148156586,-0.00019584136502260062,-0.0003346773649344141,-0.0004735133648271129,0.00013883599977518337,-0.00033954094973431375,-0.0006172129493207804,-0.0007560489491111025,-0.0008948849488663356,0.0004165080007090039,0.0002776720004763338,0.00013883600023858764,4.039740218484692,-0.2886448393446104,-0.28864483934483676,-0.28864483936599544,-0.28864483939338526,-0.28864483939449703,-0.2886448393951644,-0.18393247575771302,-0.28864483939819724,-0.28864483939723523,-0.2886448393977837,-0.28864483939865654,-0.10342483246169096,-0.28864483934472923,-0.28864483936155977,-0.28864483935735313
1,2013-11-01 01:00:00,optimal,0.4128717417985138,-6.40522463787971e-13,0.0006328755566228139,0.004076373075309788,0.0034434975000000017,1.2279201873509007,1.2274959072143516,0.0012974686134813855,0.0017217487500000008,43.44653426996118,63.359989864438816,1.5972929497551118,7.842721888584592e-10,53.4032620672,43.4465342825102,43.44653428251053,43.44653428251084,43.44653428253556,43.44653428256945,43.446534282571044,43.44653428257201,43.44653428257329,43.44653428257628,43.44653428257481,43.44653428257558,43.44653428257676,43.44653428257701,43.44653428251064,43.44653428252344,43.446534282527324,3.190767557045626e-12,3.190041310085449e-12,3.0750209022691366e-12,2.7604560141186485e-12,2.733419439969738e-12,0.001383224852377139,2.6771875429251077e-12,2.667713373739168e-12,0.0026931481845127478,3.190753861926828e-12,1.4770126524883133e-17,2.324795261468371e-16,7.15086898565812e-16,1.419101859074908e-15,1.4301008742701742e-15,0.0004511434345674163,1.4949260755286545e-15,1.5047552466045694e-15,0.0008463251789030869,-8.063482432756029e-17,0.9999999999947143,2.6968772688871727e-13,2.697085555678567e-13,2.715017515797636e-13,2.7322672599258984e-13,2.732703987083491e-13,2.732997740345832e-13,7.736073456578062e-13,2.7337515880992187e-13,2.7334641288759227e-13,2.733600212941941e-13,2.7338060867310453e-13,1.109234118732975e-12,2.6970322694128965e-13,2.717383474411846e-13,2.72387657745809e-13,-0.0006328755583907402,-0.0015511415497068196,-0.0017807080476441013,-0.0020102745456967715,-0.000694525354469843,-0.0009240918528540556,-0.0011536583512488778,0.00022956649845111893,-0.001545315689594676,-0.0020044486864797513,-0.002234015184923827,-0.0024635816833844288,0.0006886994933795287,0.00045913299544296315,0.00022956649749209228,0.0004242801365491703,-3.485286345473503e-05,-0.00014963611345579557,-0.0002644193634569004,-0.00010679368456244732,-0.0002215769345636065,-0.00033636018456478236,0.00011478325000120367,-0.00027240892889558493,-0.0005019754288979722,-0.0006167586788991646,-0.0007315419289003705,0.0003443497500031847,0.000229566500002225,0.00011478325000113171,1.5697967001514648,-0.11646006532364805,-0.11646006532367958,-0.11646006532867395,-0.11646006534233795,-0.11646006534305221,-0.11646006534351248,-0.05636373949224746,-0.11646006534595545,-0.11646006534521078,-0.1164600653456499,-0.11646006534636705,0.0005478894653783706,-0.11646006532364864,-0.1164600653242612,-0.11646006530432608
2,2013-11-01 02:00:00,optimal,0.38894498046676457,-2.4982880645379322e-12,0.00032504964953339956,0.003452977158184298,0.003127927500000001,0.9862054571083867,0.9856687943070468,0.0010273009486891774,0.0015639637500000005,25.80007220276118,45.71352779723882,0.6764051104829496,1.5892129279215794e-10,35.7568,25.80007223048607,25.800072230486432,25.800072230486787,25.80007223051442,25.800072230552423,25.800072230554207,25.800072230555273,25.800072230556708,25.800072230560097,25.80007223055846,25.80007223055932,25.80007223056067,25.800072230560957,25.800072230486563,25.800072230500604,25.800072230504874,2.6982786766879248e-12,2.697770491031094e-12,2.646117229762316e-12,2.5697837689840767e-12,2.564568923844494e-12,0.0011899319208406663,2.55591835786582e-12,2.5545974362455578e-12,0.0022630452032452396,2.698010116054605e-12,-5.754966070091185e-16,-3.996611995817712e-17,1.022098642229103e-15,2.610291894592623e-15,2.666829837126725e-15,0.0003538159453440015,2.8148007272569778e-15,2.836202561153338e-15,0.0006734850033282,-7.736888308560431e-16,0.9999999999738686,1.5073841292214667e-12,1.5073435441678782e-12,1.502918103578863e-12,1.4956968529580308e-12,1.495355146454566e-12,1.495164737999192e-12,3.313810054402445e-12,1.4942940932265466e-12,1.4945690841819486e-12,1.4944084445719124e-12,1.4941570603011688e-12,3.591750634321496e-12,1.50736631076335e-12,1.5045382604869501e-12,1.5035466006319479e-12,-0.00032504965241571894,-0.0011591636431246461,-0.0013676921408108593,-0.0015762206385490762,-0.0005643464248171711,-0.0007728749226354969,-0.0009814034204557876,0.0002085284978290034,-0.0012204027115469444,-0.0016374597072021653,-0.0018459882050299743,-0.0020545167028603066,0.0006255854930232269,0.00041705699533725664,0.00020852849761221053,0.0005366628013400177,0.00011960580133334077,1.5341551332071503e-05,-8.8922698668637e-05,-4.102319534186078e-05,-0.0001452874453416774,-0.00024955169534149254,0.00010426424999975567,-0.00015216375332659544,-0.000360692253326112,-0.0004649565033258669,-0.0005692207533256126,0.00031279275000539687,0.00020852850000376664,0.00010426425000191705,0.6680188059643623,-0.050473724323676146,-0.05047372432368929,-0.050473724325024935,-0.05047372432699923,-0.05047372432708366,-0.05047372432713414,-0.01977339488501984,-0.05047372432735791,-0.05047372432728638,-0.050473724327327274,-0.05047372432739208,0.007913005312700151,-0.05047372432368309,-0.0504737243246894,-0.05047372432177774
3,2013-11-01 03:00:00,optimal,0.3756658546881651,0.00014019440198112052,6.706752661450666e-13,0.002802985591412563,0.0029431799999999997,1.8909418621062914,1.8902768978275468,0.0008066257212581325,0.0014715899999999998,27.500934269961185,47.414389864438824,0.9794620575209078,-3.4504223089815156e-10,37.457662067200005,47.41438979227313,47.41438979227327,47.414389792273305,47.41438979227532,47.41438979227766,47.414389792277774,47.41438979227784,47.41438979227791,47.4143897922781,47.414389792278,47.41438979227805,47.41438979227812,47.41438979227813,47.4143897922733,47.41438979227628,47.41438979227718,-4.466667927504755e-13,-4.465935310219974e-13,-4.3003092429962764e-13,-3.8212003159610845e-13,-3.7815375647080775e-13,0.0012052911247346745,-3.6949795888935817e-13,-3.6805982020401327e-13,0.0015976944719815168,-4.467190684182599e-13,9.919391182616618e-17,1.6066257990189819e-15,3.849750628987394e-15,6.925801109232891e-15,7.056543663420143e-15,0.00034538066879385575,7.339252411963352e-15,7.378288909291707e-15,0.00046124505240868253,-3.069730322657127e-17,0.9999999999975775,1.508712445962586e-13,1.508631143045971e-13,1.498641145802596e-13,1.4812029359459556e-13,1.48023591622748e-13,1.4797938026371234e-13,2.7107012906846234e-13,1.4772084786291127e-13,1.4779500650204733e-13,1.4774784252444624e-13,1.4767551796905413e-13,2.0344452493139253e-13,1.5087333211175581e-13,1.5100654720624944e-13,1.5130345533346535e-13,0.0001401944017652801,-0.0006446535982222784,-0.0008408655982140313,-0.0010370775981892399,-0.0006166551253412222,-0.0008128671252661309,-0.0010090791251894794,0.00019621199991469356,-0.0006166344727753307,-0.0010090584726073096,-0.0012052704725230659,-0.001401482472436321,0.0005886359999957327,0.0003924240000038543,0.00019621200000907369,0.00066496427874479,0.0002725402787439327,0.00017443427874538274,7.632827874904971e-05,-5.106266880729818e-05,-0.0001491686688004974,-0.0002472746687936481,9.810599999286926e-05,2.9284947563068428e-05,-0.0001669270524227446,-0.0002650330524156443,-0.0003631390524084742,0.00029431800000084113,0.0001962120000006379,9.810600000033406e-05,0.9861092895089628,-0.07460074277234602,-0.07460074277234255,-0.07460074277155823,-0.07460074276928827,-0.0746007427691743,-0.07460074276910035,-0.01745259954971272,-0.07460074276869019,-0.07460074276881302,-0.07460074276874058,-0.07460074276862205,0.0011529657123755394,-0.0746007427723485,-0.0746007427724836,-0.0746007427731603
4,2013-11-01 04:00:00,optimal,0.39079907526804963,0.0004217298229757501,9.713324896545572e-13,0.002508220182258817,0.0029299500000000006,1.9522634323088672,1.9514831477385235,0.0006846904296536837,0.0014649750000000003,42.83770516916118,62.75116076363882,1.386767814250185,2.6752648707439874e-10,52.7944329664,62.75116073732795,62.75116073732854,62.75116073732854,62.75116073732768,62.75116073732551,62.75116073732542,62.751160737325364,62.75116073732526,62.751160737325,62.75116073732511,62.75116073732505,62.751160737324945,62.751160737324916,62.75116073732857,62.751160737331254,62.751160737332036,9.050343118066038e-13,9.044967039849245e-13,8.185987477993119e-13,5.79368586811022e-13,5.585953310103607e-13,0.0011817800218409545,5.150529656166873e-13,5.077943035703819e-13,0.0013264401508472589,9.050673874331203e-13,4.746762110395766e-16,2.3675803270978196e-16,3.4007112041194694e-17,2.0936644176036339e-16,2.3801385776532976e-16,0.0003211843658264045,2.9740353459427855e-16,3.0698777769169265e-16,0.00036350606382248206,6.778995074943213e-16,0.9999999999981019,1.0899110878584233e-13,1.0899051972822379e-13,1.0894231348851416e-13,1.0893936686410243e-13,1.0893863921189637e-13,1.0894041084018868e-13,2.3209664540454e-13,1.0895238458821808e-13,1.0894860061328421e-13,1.0895051469063341e-13,1.0895434359452258e-13,2.524399578783952e-13,1.0899077980989754e-13,1.0894569761362866e-13,1.0852359326825237e-13,0.00042172982173784896,-0.0003595901752574847,-0.000554920174619551,-0.0007502501740674476,-0.0005957900221671975,-0.0007911200218668202,-0.0009864500215745924,0.0001953299997512964,-0.0003497901515872572,-0.0007404501510765586,-0.0009357801508223614,-0.0011311101505809135,0.0005859899976338044,0.0003906599982723077,0.00019532999890544322,0.000780284570343715,0.0003896245703459454,0.0002919595703462113,0.00019429457034637104,-2.8189365827797695e-05,-0.00012585436582726695,-0.00022351936582672036,9.766499999936819e-05,0.00012481893617467474,-7.051106382408828e-05,-0.0001681760638234679,-0.0002658410638228223,0.00029299499999820884,0.00019532999999877937,9.766499999938689e-05,1.4132318500958765,-0.10470837178655815,-0.10470837178659188,-0.10470837179198214,-0.10470837180699412,-0.10470837180778607,-0.10470837180829766,-0.03055030373647471,-0.10470837181102999,-0.1047083718101956,-0.10470837181068511,-0.10470837181148547,-0.021472712728889287,-0.10470837178655606,-0.10470837178688946,-0.10470837175793431
5,2013-11-01 05:00:00,optimal,0.4721585284788257,0.0005418379211543382,4.632375018677032e-12,0.0029625520908693535,0.0035043899999999987,2.01799590941876,2.0171177670106695,0.0008740525919275585,0.0017521949999999994,47.97895316916118,67.89240876363883,2.4670570887814964,5.018325477390562e-10,57.9356809664,67.8924087376031,67.89240873760473,67.89240873760482,67.89240873761311,67.89240873762381,67.8924087376243,67.89240873762458,67.89240873762492,67.892408737626,67.89240873762552,67.89240873762576,67.89240873762613,67.8924087376262,67.8924087376048,67.8924087376133,67.89240873761585,1.1696274741689255e-12,1.1712480055951813e-12,1.3302698577552632e-12,1.593004142169726e-12,1.613699446794962e-12,0.0013469612712276244,1.6532778405039583e-12,1.6597713577499098e-12,0.0016155908008890657,1.1704713785821246e-12,-2.541971865006035e-15,-4.868535633627356e-15,-7.940808560596907e-15,-1.6052350358320434e-14,-1.698929509815146e-14,0.00039639965503290045,-1.883881274059522e-14,-1.9151304370666028e-14,0.0004776529370416163,-2.396400520437052e-15,0.9999999999972422,1.4411423836262263e-13,1.4411314284350794e-13,1.4397690782358777e-13,1.435904956199714e-13,1.4356870353210647e-13,1.4355520898558042e-13,4.2171766869027357e-13,1.4349467114644596e-13,1.4351426878618996e-13,1.4350298646163252e-13,1.4348490509031027e-13,4.747962114649536e-13,1.441130884004715e-13,1.439736582026272e-13,1.4397183419170423e-13,0.0005418379160602556,-0.00039266608095013175,-0.0006262920802405824,-0.0008599180793721749,-0.0006460832730608179,-0.0008797092719171536,-0.0011133352707655359,0.0002336259988088299,-0.00044746080518042,-0.0009147128028105408,-0.001148338801624616,-0.0013819648004269546,0.0007008779977183186,0.00046725199842709194,0.0002336259992512078,0.0008781424080901262,0.00041089040807728953,0.0002940774080715821,0.00017726440806256825,-4.596065499512546e-05,-0.00016277365501312873,-0.0002795866550315045,0.00011681300002026239,0.00010641206304027597,-0.00012721393699962052,-0.00024402693701960977,-0.00036083993704018774,0.0003504390000097386,0.00023362600000658,0.00011681300000330955,2.5038437700727334,-0.18033190438940006,-0.18033190438929003,-0.180331904378494,-0.18033190436065727,-0.18033190435979263,-0.1803319043592523,-0.08888345928821666,-0.1803319043565654,-0.18033190435741198,-0.18033190435692178,-0.18033190435612456,-0.07064555346132106,-0.18033190438934277,-0.18033190438149999,-0.18033190438661026
6,2013-11-01 06:00:00,optimal,0.8692593206057482,0.0023380037534080824,-8.274646440706995e-13,0.0031803011843427997,0.005518304999999999,1.9959874087873075,1.9939886756508836,0.0007604193635786343,0.0027591524999999997,65.41280626996118,85.32626186443883,8.114339356615579,-5.221435728230972e-09,75.36953406720001,85.32626186384049,85.32626186384063,85.32626186384071,85.32626186384856,85.3262618638597,85.3262618638602,85.3262618638605,85.3262618638609,85.32626186386199,85.3262618638615,85.32626186386177,85.32626186386219,85.32626186386227,85.32626186384066,85.32626186384331,85.3262618638441,4.44950458841974e-07,4.449504588389818e-07,4.4495045857884e-07,4.4495045811500123e-07,4.449504580761494e-07,0.0012848893123868859,4.449504580125563e-07,4.449504580032318e-07,0.001891852259041721,4.449504588391396e-07,1.1117714161755534e-07,1.1088642241863261e-07,1.105012525591933e-07,1.1020118183095857e-07,1.1018222872962828e-07,0.00013977714511531812,1.1023764471567892e-07,1.1025352234279936e-07,0.000619757562425029,1.1121664448436174e-07,0.9999999999973881,2.710671537041444e-12,2.710672719101558e-12,2.710776425713806e-12,2.7109635993365693e-12,-2.122413587962197e-12,2.7109780957358863e-12,-3.034554707790795e-12,2.7110038270755927e-12,-2.1223667107418653e-12,-2.122356985455695e-12,2.7110074644150652e-12,-3.0313028790393777e-12,2.7106727120122827e-12,-2.1227271251799927e-12,-2.1226238108087197e-12,0.00233800375807445,0.0008673456780476707,0.000499903632345412,0.0001324615866428622,-0.00018167327621052587,-0.0005495602705226085,-0.0009170023162257083,0.0003674420457031693,-5.330718284966973e-05,-0.0007886362228650821,-0.0011565232171773588,-0.001523965262880538,0.0011032160343245243,0.000735773988622266,0.0003678869943113088,0.0019987331364239047,0.0012631815302096353,0.0010793489166319485,0.0008955159178843578,0.00041194317265670925,0.00022799967265638678,4.416635488490008e-05,0.0001838332623555102,0.0002997394464092669,-6.803731594657808e-05,-0.00025198081594691557,-0.00043581406242480054,0.0005517192833558268,0.00036788700000023984,0.0001839435000001216,8.31383247716693,-0.5723084136246451,-0.5723084136246455,-0.5723084136246668,-0.5723084136247049,-0.572346379465454,-0.5723084136247081,-0.46271157769585813,-0.5723084136247133,-0.5723463794654668,-0.5723463794654695,-0.5723084136247141,-0.41092169836791304,-0.5723084136246455,-0.5723463794653662,-0.572346379465395
7,2013-11-01 07:00:00,optimal,1.4291034972993952,0.0049982715468577564,-7.34201727891927e-13,0.003144155878871484,0.008142427499998496,2.077646627696082,2.0744856392980733,0.0009102253519975302,0.004071213749999248,71.60743413556118,91.52088973003883,17.618023577960155,-6.661685203468437e-09,81.5641619328,91.52088972980006,91.52088972980023,91.52088972980033,91.5208897298095,91.52088972982261,91.52088972982318,91.52088972982352,91.520889729824,91.52088972982527,91.52088972982473,91.52088972982502,91.52088972982553,91.52088972982563,91.52088972980025,91.52088972980312,91.52088972980391,6.616391174325349e-06,6.616391173489731e-06,6.616391115781645e-06,6.616390993431631e-06,6.616390983110759e-06,0.001513643739210193,6.6163909602254684e-06,6.616390956925231e-06,0.00157758100174264,6.616391173187472e-06,1.6499961650397534e-06,1.6403652594995392e-06,1.6228404680078575e-06,1.6094346251184664e-06,1.609566960089697e-06,0.00043593860841586226,1.6128731866838226e-06,1.613674049685873e-06,0.00046127558570473767,1.6524071654873496e-06,0.9999999999960278,4.249770846186987e-12,4.2501785381730576e-12,4.2752022510161565e-12,4.332865772320795e-12,-3.224415815287542e-12,4.3381193111529155e-12,-5.207278259754401e-12,4.349453416098064e-12,-3.2243169578778735e-12,-3.2242956495001234e-12,4.351085947258899e-12,-5.217392447605995e-12,4.250409925141522e-12,-3.2248842291982327e-12,-3.2246751915581755e-12,0.004998271552188037,0.0028401903567377364,0.0023039782525074064,0.0017677661482192798,0.00010822535415995955,-0.0004346031393852173,-0.0009708152438061475,0.0005362121044438318,0.00112332868964872,4.428809165697805e-05,-0.0004985404018914455,-0.0010347525063385797,0.001621869091220806,0.0010856569869901742,0.0005428284934782821,0.003160988398008942,0.00207863380133855,0.0018088599165977989,0.0015390685070654302,0.00037669457462656325,0.00010528032462518743,-0.0001645243584152893,0.00026980137681390594,0.0008925691170634315,0.0003513534902481447,7.993924024676353e-05,-0.00018986133570414343,0.0008125903428353098,0.000542828500000641,0.0002714142500003262,18.075469837036934,-1.2236095144060806,-1.2236095144061498,-1.2236095144109904,-1.223609514421172,-1.224215052374711,-1.2236095144220243,-1.0856850308333115,-1.223609514423919,-1.2242150523749582,-1.2242150523750044,-1.2236095144241923,-1.0798334356796322,-1.2236095144061734,-1.22421505237169,-1.2242150523686095
8,2013-11-01 08:00:00,optimal,1.355893218599482,0.005559775687665352,1.3699735887449492e-11,0.0023573515971436016,0.0079171275,2.0119223819891126,2.008580483062967,0.0006166648241192013,0.00395856375,55.42023413556118,75.33368973003883,13.686927065724161,-1.711065833465142e-08,65.3769619328,75.33368972424648,75.33368972425734,75.3336897242604,75.33368972449836,75.3336897248241,75.33368972483869,75.33368972484762,75.33368972486006,75.33368972488802,75.3336897248744,75.33368972488161,75.33368972489315,75.33368972489558,75.3336897242583,75.33368972436209,75.33368972439264,5.4755070838463554e-05,5.475507084046987e-05,5.475507105962193e-05,5.4755071374066095e-05,5.475507140835736e-05,0.0010723536314461476,5.475507144678004e-05,5.475507145521264e-05,0.0008469573632751103,5.475507083748732e-05,1.3522379791052784e-05,1.3333664238142282e-05,1.3130677560715015e-05,1.2958961113718228e-05,1.2954852145293586e-05,0.0002865385371778399,1.2962844108212585e-05,1.296527978392374e-05,0.00022474829396040445,1.3549335031219425e-05,0.9999999999901967,1.3613489885772285e-11,1.3612921343847974e-11,1.3545329360645349e-11,1.3460848047434644e-11,-1.1131551945942935e-11,1.3452048061517428e-11,-1.698240531128231e-11,1.3443633222594467e-11,-1.1128756184029208e-11,-1.1128110486709553e-11,1.3441432979243367e-11,-1.5994963883673643e-11,1.3614121862729857e-11,-1.1167851573957748e-11,-1.1163786934596314e-11,0.005559775688275917,0.0035580519009209906,0.003084998486071761,0.0026119450714386827,0.0004563167477607862,-7.149173146034227e-05,-0.0005445451457489893,0.0004730534142507068,0.0016825749093552498,0.0006817130158845373,0.00015390453666479597,-0.00031914887757753636,0.0015286703725037295,0.0010556169576515428,0.0005278084784078738,0.00334189892614514,0.002313353640854417,0.002062783055080906,0.0018120094826256797,0.0004922193609794009,0.00022831511072127428,-2.263428715552591e-05,0.0002509414059145706,0.0010688448327383208,0.0005539991765628217,0.00029009492630144697,3.9155956062503885e-05,0.0007781634150748829,0.0005278085000975464,0.0002639042500488448,14.105765481148923,-0.9480986644507301,-0.9480986644505868,-0.9480986644350023,-0.9480986644124704,-0.9522235658189443,-0.9480986644100076,-0.8714392106408348,-0.9480986644072282,-0.9522235658187893,-0.9522235658187541,-0.948098664406623,-0.8884191431587197,-0.948098664450795,-0.9522235658215736,-0.9522235657585224
9,2013-11-01 09:00:00,optimal,1.3039849638727905,0.005127969160017851,1.1224904958343369e-12,0.0030152158033069166,0.008143184999999997,1.9762376302934361,1.9729440034360706,0.0007779656427027933,0.004071592499999999,45.30202420276118,65.21547979723883,12.152081820207504,-2.4568613810060924e-09,55.258752,65.21547979226287,65.21547979226492,65.2154797922656,65.21547979231862,65.21547979239224,65.21547979239554,65.21547979239756,65.21547979240036,65.21547979240684,65.21547979240376,65.21547979240542,65.21547979240808,65.21547979240864,65.2154797922651,65.21547979228441,65.21547979228995,0.00016517174700150867,0.00016517174700162796,0.0001651717470253358,0.000165171747076055,0.00016517174708171643,0.00083517085363243,0.00016517174709054823,0.0001651717470924689,0.0008586709797363386,0.00016517174700129584,4.116499379449881e-05,4.101614738876876e-05,4.090246100405936e-05,4.1108464296543974e-05,4.114265500972087e-05,0.00022047623131161292,4.125192425812426e-05,4.127231015893642e-05,0.0002284203610089526,4.1210094512612594e-05,0.9999999999991196,1.3486264083307864e-12,1.3486024060549975e-12,1.3428783701208086e-12,1.3311009408683013e-12,-9.60322275073531e-13,1.3297439030485885e-12,-2.1292452286760643e-12,1.3277145497658328e-12,-9.601058066964615e-13,-9.600508536371158e-13,1.327242808659688e-12,-2.2181765661412157e-12,1.3486976204939842e-12,-9.632438018103024e-13,-9.630859386665803e-13,0.00512796916125899,0.0032867966624188856,0.002909089411784121,0.0025313821611722587,0.0006282943935813771,8.541539456266888e-05,-0.00029229185599400124,0.00037770725054797605,0.00152538051702863,0.0006047942674642221,6.191526844828582e-05,-0.00031579198209778775,0.0014634652482052308,0.0010857579975701416,0.0005428789985239786,0.003293626857365584,0.0022902439456633492,0.0020598205930491757,0.0018292835540491402,0.0005526996137094232,0.00028126011369031224,5.096326869424033e-05,0.00023018757574786537,0.001046252904630583,0.0005446258288634465,0.0002731863288441543,4.301913899707505e-05,0.0007731084054950352,0.0005428790000055981,0.000271439500002775,12.486504789254093,-0.8347711477227596,-0.8347711477227521,-0.8347711477212756,-0.834771147718111,-0.8455429025696681,-0.8347711477177583,-0.7910768345657,-0.834771147717207,-0.845542902569509,-0.8455429025694745,-0.8347711477170875,-0.7895442625677356,-0.8347711477227726,-0.8455429025716026,-0.8455429025375405
