,Timestep,Status,Obj,P Feed In,P Feed Out,P Local Gen,P Local Dem,Q Feed In,Q Feed Out,Q Local Gen,Q Local Dem,FT,GT,Surplus,Spot,Shadow Price 0,Shadow Price 1,Shadow Price 2,Shadow Price 3,Shadow Price 4,Shadow Price 5,Shadow Price 6,Shadow Price 7,Shadow Price 8,Shadow Price 9,Shadow Price 10,Shadow Price 11,Shadow Price 12,Shadow Price 13,Shadow Price 14,Shadow Price 15,GenP[1],GenP[2],GenP[3],GenP[4],GenP[6],GenP[7],GenP[8],GenP[11],GenP[12],GenP[13],GenQ[1],GenQ[2],GenQ[3],GenQ[4],GenQ[6],GenQ[7],GenQ[8],GenQ[11],GenQ[12],GenQ[13],FloP[1],FloP[2],FloP[3],FloP[4],FloP[5],FloP[6],FloP[7],FloP[8],FloP[9],FloP[10],FloP[11],FloP[12],FloP[13],FloP[14],FloP[15],FloQ[1],FloQ[2],FloQ[3],FloQ[4],FloQ[5],FloQ[6],FloQ[7],FloQ[8],FloQ[9],FloQ[10],FloQ[11],FloQ[12],FloQ[13],FloQ[14],FloQ[15],Balance N0,Balance N1,Balance N2,Balance N3,Balance N4,Balance N5,Balance N6,Balance N7,Balance N8,Balance N9,Balance N10,Balance N11,Balance N12,Balance N13,Balance N14,Balance N15
0,2013-11-01 00:00:00,optimal,0.025556684614355462,-2.813550835977247e-13,0.00035474420582969096,0.004519824203072198,0.004165080000000001,1.1775412722944918,1.1771403693317268,0.001681637037230841,0.0020825400000000003,64.14682420276118,84.06027979723883,-1.9493250416613428e-10,74.10355200000001,64.1468242087538,64.14682420875381,64.1468242087539,64.14682420875364,64.14682420875305,64.14682420875333,64.14682420875342,64.14682420875334,64.14682420875326,64.1468242087532,64.14682420875344,64.14682420875354,64.14682420875354,64.14682420875386,64.14682420875445,64.14682420875462,-2.816417478621581e-13,-1.8294813948186124e-13,-1.709351193511808e-13,-3.169967159608431e-13,-3.519055759557198e-14,0.0016323857695758385,-1.844156561292385e-13,-3.7744495795296606e-14,0.0028874384356192277,-3.444042498051761e-14,-9.351731421908331e-17,-9.834081967789387e-17,-5.16847689166214e-17,1.6212043750371903e-15,2.810644216054986e-15,0.0006082050398803396,3.8098307383336525e-15,3.242195770275611e-15,0.0010734319973311139,-1.0257546997609916e-16,-0.00035474420592117604,-0.0014654322060082584,-0.0017431042060013396,-0.0020207762059823624,-0.0007993697700787755,-0.0010770417699205908,-0.001354713769765812,0.0002776719999944338,-0.001499078436030595,-0.0020544224360152436,-0.0023320944359613927,-0.0026097664358091803,0.000833015999995312,0.0005553440001507396,0.0002776719999985324,0.00040090296276508073,-0.0001544410372350574,-0.0002932770372349983,-0.00043211303723481666,-0.00019169703988668348,-0.0003305330398838885,-0.00046936903988071226,0.000138835999995808,-0.00037925199734616805,-0.000656923997338693,-0.0007957599973351627,-0.0009345959973315199,0.0004165080000001222,0.0002776720000000951,0.00013883600000003606,-0.022755714228479194,-0.01781177698975951,-0.01781177698342863,-0.01781177698265803,-0.017811776992027416,-0.017811776973732322,-0.01781177697395045,0.0869005860301595,-0.017811776983522765,-0.017811776983252155,-0.01781177698042448,-0.017811776974114277,0.16740822877157258,-0.01781177697390233,-0.01781177699363546,-0.017811776983777557
1,2013-11-01 01:00:00,optimal,0.016112129587627477,-3.3219749620037747e-13,0.0006328755439739501,0.004076373051129106,0.0034434975000000017,1.0922418334581718,1.09208210678351,0.0015620220753296895,0.0017217487500000008,43.44653426996118,63.359989864438816,2.9643384621969027e-10,53.4032620672,43.44653427762268,43.44653427762271,43.446534277622995,43.44653427762231,43.44653427762131,43.44653427762214,43.44653427762243,43.4465342776223,43.44653427762206,43.4465342776219,43.446534277622554,43.44653427762287,43.44653427762292,43.446534277622824,43.44653427762431,43.44653427762484,1.4683278074321156e-12,1.0583068537251606e-12,1.5488642844451388e-12,1.1879010238881243e-12,7.387205910632971e-13,0.001383224852517229,1.1197829471283552e-12,7.218322321982079e-13,0.0026931481841968403,1.0734796083889477e-12,7.763170490887326e-16,1.6847913464107378e-15,-5.094770560634027e-17,3.2380939425508987e-15,5.763061847247846e-15,0.0005306379175237268,8.538729009504079e-15,8.682876752702593e-15,0.0010313841577554623,1.120272945095729e-15,-0.0006328755447326855,-0.0015511415411770763,-0.0017807080405453173,-0.002010274539422899,-0.0006945253526908411,-0.0009240918524032365,-0.0011536583520908763,0.0002295664993065547,-0.0015453156859704666,-0.0020044486846135293,-0.002234015184065869,-0.0024635816837704325,0.0006886994974861854,0.00045913299813312537,0.00022956649937784255,0.0001597266746617011,-0.00029940632533461114,-0.0004141895753325967,-0.0005289728253321589,-0.00018628816753671546,-0.0003010714175310591,-0.0004158546675245191,0.00011478324999064934,-0.0004574679077914788,-0.0006870344077745463,-0.0008018176577658666,-0.0009166009077563288,0.00034434974999724853,0.00022956649999851972,0.0001147832499993991,-0.027496249029166153,-0.009973868747450113,-0.009973868765264104,-0.009973868743951083,-0.009973868759633686,-0.009973868780225131,-0.009973868779149018,0.050122457157305504,-0.00997386876259318,-0.009973868763894665,-0.00997386876892546,-0.00997386877988276,0.10703408608818143,-0.009973868764604899,-0.009973868738632605,-0.00997386876568024
2,2013-11-01 02:00:00,optimal,0.028545328308124267,-4.066683092368016e-14,0.0003250496230325027,0.003452977124828043,0.003127927500000001,1.0471942223682047,1.0467479562811575,0.0011176976629527632,0.0015639637500000005,25.80007220276118,45.71352779723882,4.527586118519e-11,35.7568,25.800072204322966,25.80007220432297,25.80007220432298,25.800072204323357,25.80007220432389,25.800072204323918,25.800072204323932,25.800072204323943,25.80007220432401,25.800072204323982,25.800072204323985,25.800072204323985,25.800072204323968,25.80007220432297,25.800072204323165,25.80007220432323,4.5343166687614225e-13,3.704662819764137e-13,4.216524764364499e-13,2.934669211275146e-13,2.9088164742043465e-13,0.0011899319192772682,2.162724976666061e-13,2.3305024541819145e-13,0.0022630452016056766,3.839273840609962e-13,7.478897599161134e-17,1.1432966451472212e-16,5.763881456296222e-17,-1.4055225701897619e-16,-1.5423215847875457e-16,0.0003485344749994769,-1.5420972853162436e-16,-7.306541539801031e-17,0.0007691631879535487,1.2556174269694444e-16,-0.0003250496231828461,-0.0011591636221377655,-0.001367692121876976,-0.001576220621565,-0.0005643464195111302,-0.0007728749193487875,-0.0009814034191675868,0.00020852849989341115,-0.001220402701870081,-0.0016374597016835639,-0.0018459882016193614,-0.0020545167014959943,0.0006255854992986752,0.00041705699957292656,0.00020852849987396658,0.00044626608704719954,2.9209087047705637e-05,-7.505516295217719e-05,-0.00017931941295211719,-3.5741724999179976e-05,-0.00014000597499932833,-0.0002442702249994799,0.00010426425000015146,-0.0002478419379530768,-0.00045637043795338,-0.0005606346879534848,-0.0006648989379535535,0.0003127927499995701,0.00020852849999969687,0.00010426424999984735,-0.008386303745275738,-0.005380050344960591,-0.005380050347101105,-0.005380050345780497,-0.005380050349087694,-0.005380050349640958,-0.005380050349154394,0.02532027907892297,-0.005380050351079315,-0.0053800503517672,-0.005380050352172894,-0.0053800503506464484,0.05300667924641392,-0.005380050346753807,-0.005380050346062614,-0.005380050350577766
3,2013-11-01 03:00:00,optimal,0.036552799685315045,0.00014019438117482622,-1.1808319586374292e-11,0.002802985623137262,0.0029431799999999997,1.6883391878671712,1.6876334471616505,0.0007658492944802221,0.0014715899999999998,27.500934269961185,47.414389864438824,7.64339251613233e-10,37.457662067200005,47.41438828278594,47.414388282785985,47.41438828278601,47.41438828278876,47.41438828279256,47.41438828279262,47.41438828279263,47.414388282792686,47.41438828279319,47.414388282793034,47.414388282793,47.41438828279303,47.414388282792956,47.414388282786,47.41438828278734,47.41438828278774,1.1978011904064395e-12,1.3503662175150265e-12,1.1630330011492092e-12,1.533011097097228e-12,1.6304470199311496e-12,0.0012052911283222893,1.7031387013715252e-12,1.6613441678243553e-12,0.001597694475253412,1.3144909910341828e-12,2.5135445740231537e-16,2.8273307522225303e-16,3.4926906270645123e-16,5.504295968813439e-16,6.543284384835856e-16,0.0003178962593729837,2.210218257331878e-16,-2.003750425050611e-17,0.00044795303510256805,4.179709063254994e-16,0.00014019439197563848,-0.0006446536068562712,-0.0008408656065134126,-0.001037077606357892,-0.0006166551286110269,-0.0008128671279376764,-0.0010090791273147596,0.00019621199930440608,-0.0006166344772213808,-0.0010090584757232873,-0.0012052704748996789,-0.001401482474245875,0.0005886359990222062,0.00039242399932919197,0.0001962119994103389,0.0007057407055207015,0.0003133167055222118,0.00021521070552245374,0.00011710470552274681,-2.357825937403106e-05,-0.00012168425937349323,-0.00021979025937291167,9.810599999985255e-05,4.2576964897252295e-05,-0.0001536350351024278,-0.00025174103510241163,-0.00034984703510250047,0.0002943179999987119,0.00019621199999908694,9.810599999953994e-05,0.0066472313839723565,-0.009303271896948984,-0.009303271889715208,-0.009303271898597497,-0.009303271881055212,-0.009303271874044101,-0.009303271876435346,0.0478448695983282,-0.009303271872988716,-0.009303271867920045,-0.0093032718669191,-0.009303271874970378,0.06645043425318521,-0.009303271891416208,-0.009303271902123465,-0.009303271878012258
4,2013-11-01 04:00:00,optimal,0.05321038062610794,0.0004217298273366973,4.855143205185076e-13,0.0025082201736476442,0.0029299500000000006,1.5052093872141497,1.5045691859338746,0.0008247737197252287,0.0014649750000000003,42.83770516916118,62.75116076363882,3.1301997452382047e-11,52.7944329664,62.75116075430117,62.75116075430117,62.75116075430118,62.75116075430145,62.751160754301836,62.75116075430185,62.751160754301864,62.751160754301864,62.751160754301914,62.7511607543019,62.7511607543019,62.751160754301914,62.751160754301914,62.75116075430117,62.75116075430128,62.75116075430131,7.070245686826362e-14,9.015875490361486e-14,4.7406542324291045e-14,7.402618908091812e-14,1.1575605727893887e-13,0.0011817800216199716,7.858649248285937e-14,1.0736870692016166e-13,0.0013264401509292996,8.886642488818073e-14,8.449893904397571e-18,1.308711300790554e-17,-2.697986538854263e-18,-7.725670349959737e-17,-9.131510139080328e-17,0.0003846951685769149,-1.132096124498924e-16,-9.571693387777681e-17,0.0004400785511489368,9.019137330457371e-18,0.00042172982682001385,-0.0003595901730143967,-0.0005549201729554075,-0.0007502501729391742,-0.000595790021764017,-0.0007911200216733666,-0.0009864500215887911,0.0001953299999525952,-0.0003497901511323098,-0.0007404501510322107,-0.0009357801509743011,-0.001131110150898116,0.0005859899998739439,0.0003906599999316412,0.00019532999992716708,0.0006402012802750763,0.00024954128027506394,0.00015187628027506364,5.421128027504242e-05,-9.170016857665796e-05,-0.00018936516857677338,-0.0002870301685768898,9.766500000013919e-05,4.824644885159768e-05,-0.0001470835511486679,-0.0002447485511487911,-0.00034241355114891184,0.00029299500000001257,0.0001953300000000107,9.766500000000693e-05,0.02646403615962218,-0.012257184225700985,-0.01225718422448008,-0.012257184227162831,-0.012257184225492417,-0.012257184222492635,-0.01225718422287382,0.061900883882758696,-0.012257184225206252,-0.012257184224874372,-0.012257184224547009,-0.012257184223400136,0.07097847491178633,-0.012257184224561176,-0.012257184228462328,-0.012257184223611165
5,2013-11-01 05:00:00,optimal,0.06838288556718435,0.0005418379277013514,4.699421152544404e-13,0.0029625520736465943,0.0035043899999999987,1.495789969486685,1.4950266418390408,0.0009888673523565411,0.0017521949999999994,47.97895316916118,67.89240876363883,5.960978585739518e-11,57.9356809664,67.89240874396121,67.89240874396121,67.89240874396121,67.8924087439617,67.89240874396236,67.89240874396239,67.8924087439624,67.89240874396242,67.8924087439625,67.89240874396246,67.89240874396248,67.89240874396249,67.89240874396249,67.89240874396121,67.8924087439614,67.89240874396147,8.384360985099955e-14,1.282537248054176e-13,1.3172239265367372e-13,1.5540621453791724e-13,1.2832532241147658e-13,0.0013469612709624407,1.54210940355992e-13,1.6312654303687444e-13,0.0016155908008227441,1.2681749023182342e-13,-8.1593033690334e-18,-2.3588135335185456e-17,-1.4789079257440073e-17,-8.539482207990629e-17,-1.1876897886620347e-16,0.0004461505110141242,-1.4104340486843274e-16,-1.24204301899383e-16,0.0005427168413433223,-1.3615892018326107e-17,0.000541837927176547,-0.00039266607246607476,-0.0006262920723926837,-0.0008599180723158308,-0.0006460832710469062,-0.0008797092709810012,-0.0011133352709075583,0.00023362599990067279,-0.00044746080116839806,-0.0009147128009787532,-0.0011483388008760983,-0.0013819648007678577,0.0007008779996716033,0.00046725199974355846,0.000233625999866912,0.0007633276476440476,0.0002960756476439281,0.0001792626476438791,6.244964764382896e-05,-9.571151101374654e-05,-0.00021252451101390742,-0.00032933751101407515,0.00011681300000019178,4.134815865744099e-05,-0.0001922778413429245,-0.00030909084134309956,-0.0004259038413432732,0.0003504390000000958,0.0002336260000000623,0.00011681300000003112,0.036786682028575546,-0.015861431879524338,-0.01586143187650923,-0.01586143187627373,-0.01586143187466578,-0.015861431877016198,-0.015861431876504364,0.07558701328525083,-0.01586143187474693,-0.015861431875358663,-0.015861431874520937,-0.01586143187414163,0.09382491912722468,-0.015861431876606737,-0.01586143187311687,-0.015861431872455867
6,2013-11-01 06:00:00,optimal,0.23344049049001211,0.002338003753113019,1.7273886470175042e-12,0.0031803012539662846,0.005518304999999999,1.4278079063871243,1.426108232692184,0.0010594788050630256,0.0027591524999999997,65.41280626996118,85.32626186443883,4.5665883574574906e-10,75.36953406720001,85.32626182715295,85.32626182715303,85.32626182715308,85.32626182715734,85.32626182716334,85.32626182716358,85.32626182716369,85.32626182716383,85.32626182716457,85.32626182716429,85.32626182716436,85.32626182716447,85.3262618271644,85.32626182715305,85.32626182715458,85.32626182715507,4.449613872784815e-07,4.449606288350673e-07,4.4496112420279e-07,4.449605589467865e-07,4.4496098631875704e-07,0.0012848893082654676,4.449607609278463e-07,4.4496068574651097e-07,0.0018918522549840678,4.4496074558981465e-07,2.2248000006946204e-07,2.2248000016557667e-07,2.2247999922718336e-07,2.2247999804846295e-07,2.2247999815717902e-07,0.00042017908334545095,2.2247999815704638e-07,2.2247999835267536e-07,0.0006375198817309396,2.2248000011965348e-07,0.0023380037510512186,0.0008673456730885733,0.0004999036333829949,0.00013246159417273578,-0.0001816732692985693,-0.0005495602685827165,-0.000917002307930933,0.00036744203957362215,-5.3307176304268795e-05,-0.0007886362153981394,-0.0011565232150006779,-0.0015239652546494983,0.0011032160390155145,0.0007357739994266916,0.0003678869998202202,0.0016996736949405902,0.0009643446549401477,0.0007806236349401557,0.0005969026149391652,0.00013142893665922444,-5.251456334300774e-05,-0.0002362355833451502,0.00018372102000215344,0.00028175265827768727,-8.591186172665489e-05,-0.00026985536172869035,-0.0004535763817306395,0.0005516080200004155,0.0003678870000004113,0.00018394350000025466,0.1994931202435961,-0.03135245559297192,-0.031352455657687066,-0.03135245561541918,-0.031352455663650365,-0.03139042239518042,-0.03135245562718432,0.07824437905116291,-0.03135245564641608,-0.031390422415324984,-0.03139042242234535,-0.03135245565283102,0.13003425836225446,-0.03135245564772482,-0.03139042242269069,-0.03139042244092842
7,2013-11-01 07:00:00,optimal,0.49093340213554393,0.004998271549192374,5.263460635124342e-13,0.0031441559460997272,0.008142427499998496,1.4465285771272625,1.4435107039591824,0.0010533405819219408,0.004071213749999248,71.60743413556118,91.52088973003883,-4.789053598130977e-10,81.5641619328,91.52088972182041,91.52088972182045,91.5208897218205,91.52088972182266,91.52088972182563,91.52088972182575,91.52088972182581,91.52088972182584,91.52088972182635,91.52088972182618,91.52088972182625,91.52088972182631,91.52088972182625,91.52088972182047,91.52088972182156,91.52088972182189,6.616402484189172e-06,6.6164020176542295e-06,6.616402284845179e-06,6.616402113873331e-06,6.616402247831018e-06,0.001513643733955728,6.616402199319386e-06,6.616402119708611e-06,0.0015775809960743635,6.616402046963875e-06,3.30820124933709e-06,3.3082012484941283e-06,3.308201245042109e-06,3.3082012429920407e-06,3.308201242161755e-06,0.0004916411423680731,3.3082012437083274e-06,3.3082012445276285e-06,0.0005352338296087952,3.308201249692107e-06,0.004998271548993134,0.0028401903542724836,0.002303978256617344,0.0017677661592293596,0.00010822536307892694,-0.00043460313685779375,-0.0009708152342828446,0.0005362120974735776,0.0011233286985914313,4.42881011416697e-05,-0.0004985403988482767,-0.001034752496401467,0.0016218690975320477,0.0010856569999062179,0.0005428284999713669,0.003017873168080278,0.0019388325705779236,0.001670726521826335,0.0014026204730712482,0.0003192934063979604,4.787915639014819e-05,-0.0002202268923678812,0.000268106048756491,0.0008152210179160882,0.0002757007191530474,4.286469147064442e-06,-0.0002638195796086022,0.0008109345487516575,0.0005428285000012887,0.0002714142500007375,0.45744625920517606,-0.049074608244241376,-0.04907460828693907,-0.04907460826248552,-0.049074608278133015,-0.049680147310499044,-0.049074608265873086,0.08884987396713463,-0.04907460827031292,-0.04968014731410958,-0.04968014731536864,-0.04907460827759896,0.09470146908260939,-0.04907460828425663,-0.049680147310333087,-0.049680147313674525
8,2013-11-01 08:00:00,optimal,0.4436821844960589,0.00555977574836686,5.776349267930748e-14,0.002357351747141205,0.0079171275,1.4279908178336826,1.4248012643253904,0.0007690102417116976,0.00395856375,55.42023413556118,75.33368973003883,-3.4274556803826073e-10,65.3769619328,75.33368972843185,75.33368972843192,75.33368972843195,75.33368972843581,75.33368972844136,75.33368972844161,75.33368972844175,75.33368972844194,75.3336897284426,75.33368972844234,75.3336897284425,75.33368972844272,75.33368972844275,75.33368972843193,75.3336897284329,75.33368972843323,5.475509966572352e-05,5.47550997331475e-05,5.4755099713190145e-05,5.475509974587456e-05,5.475509974705093e-05,0.001072353608225163,5.4755099743918454e-05,5.47550997533197e-05,0.0008469573429366129,5.4755099734720584e-05,2.737754999988208e-05,2.7377549999789848e-05,2.7377549999124727e-05,2.7377549998394547e-05,2.7377549998464384e-05,0.0003113563687531615,2.7377549998372745e-05,2.7377549998434565e-05,0.00023863347297130717,2.7377549999931682e-05,0.005559775748593533,0.003558051948167954,0.0030849985481855367,0.0026119451481831143,0.000456316791474924,-7.149170854083559e-05,-0.0005445451085094731,0.0004730533999717827,0.0016825749567383834,0.0006817130567488083,0.00015390455674148902,-0.0003191488432209011,0.001528670400375741,0.0010556170003948979,0.0005278085003752615,0.0031895535082921986,0.0021886916082912216,0.0019521649082908509,0.0017156382082897457,0.0004529788312509722,0.00018907458124904552,-4.745211875282427e-05,0.0002365267000019747,0.001026132677036839,0.0005257017270328809,0.0002617974770309507,2.5270777029039053e-05,0.0007643352000007679,0.0005278085000005911,0.00026390425000032467,0.4188384211827775,-0.035636858085762044,-0.035636858080682746,-0.03563685808218621,-0.03563685807972397,-0.03976176179763463,-0.035636858079635354,0.041022592226169774,-0.03563685807987133,-0.03976176179778694,-0.039761761796997475,-0.0356368580791631,0.024042659910974824,-0.03563685808056424,-0.039761761797934725,-0.039761761824724864
9,2013-11-01 09:00:00,optimal,0.36572759012683737,0.005127969176682125,6.370004441150364e-14,0.0030152158209546982,0.008143184999999997,1.4231493573667169,1.4202125199665085,0.0011347550997938703,0.004071592499999999,45.30202420276118,65.21547979723883,-1.5826995963807988e-10,55.258752,65.21547979608803,65.21547979608806,65.21547979608809,65.2154797960898,65.21547979609224,65.21547979609237,65.21547979609244,65.21547979609252,65.2154797960928,65.21547979609268,65.21547979609275,65.21547979609285,65.21547979609286,65.21547979608808,65.21547979608852,65.21547979608864,0.000165171749840806,0.0001651717498679844,0.00016517174986614873,0.0001651717498790391,0.0001651717498785043,0.0008351708489241162,0.00016517174987933976,0.00016517174988824976,0.0008586709748239651,0.00016517174986723884,8.258587499994945e-05,8.25858749998987e-05,8.258587499951557e-05,8.258587499912056e-05,8.258587499912689e-05,0.00023248618651552707,8.258587499909371e-05,8.258587499913345e-05,0.00024158191328532805,8.25858749999774e-05,0.005127969176770148,0.003286796676035059,0.0029090894260547654,0.0025313821760726113,0.0006282944009822621,8.541540089406986e-05,-0.0002922918490757706,0.00037770724996901106,0.001525380525121048,0.000604794275065404,6.191527498449455e-05,-0.00031579197497561,0.0014634652507276174,0.0010857580007465788,0.0005428790006618268,0.002936837400208165,0.0020162511502077214,0.0018273975252075365,0.001638543900206932,0.0004992464384867563,0.0002278069384856973,3.895331348464944e-05,0.000188853625001088,0.0009504438367191243,0.0004901507117169591,0.00021871121171590155,2.9857586714853522e-05,0.0007317326250003453,0.0005428790000002668,0.0002714395000001502,0.3344229702327211,-0.024632359541592888,-0.02463235953982043,-0.024632359539940148,-0.024632359539099497,-0.03540411447186233,-0.024632359539134372,0.019061953168071917,-0.024632359539079888,-0.03540411447176027,-0.03540411447138685,-0.024632359538498818,0.020594525153899035,-0.02463235953986906,-0.03540411447164171,-0.03540411450927574
