,Timestep,P Feed,P DER,P Local Gen,P Local Dem,FT,GT,Surplus,Spot,Shadow Price 0,Shadow Price 1,Shadow Price 2,Shadow Price 3,Shadow Price 4,Shadow Price 5,Shadow Price 6,Shadow Price 7,Shadow Price 8,Shadow Price 9,Shadow Price 10,Shadow Price 11,Shadow Price 12,Shadow Price 13,Shadow Price 14,Shadow Price 15,DER1,gP1,DER2,gP2,DER3,gP3,DER4,gP4,DER6,gP6,DER7,gP7,DER8,gP8,DER11,gP11,DER12,gP12,DER13,gP13,Balance N0,Balance N1,Balance N2,Balance N3,Balance N4,Balance N5,Balance N6,Balance N7,Balance N8,Balance N9,Balance N10,Balance N11,Balance N12,Balance N13,Balance N14,Balance N15
0,2013-11-01 00:00:00,-0.10677973632015414,0.0067797363075,-0.007589181642522948,0.004165080000000001,65.54750674635001,84.60726925364999,-0.4078572097514311,75.077388,3.6425106317986296,3.642463033219706,3.640014384350344,3.714604968560539,3.8321280958383106,3.8428787193990774,3.849703192090836,3.8535025604133306,3.8457738091407987,3.843370976245541,3.838889835095278,3.837941920974507,3.836685897600432,3.643718656955381,3.602076044151772,3.592723379176274,0.0,0.0019256408412222721,0.0,-0.00045977957695026415,0.0,-0.0006623896341946815,0.0,0.0007049460579433886,0.0,-0.0009172313148617603,0.0024485786550000003,-0.002639975178875049,0.0,-0.0007175326614586404,0.0,-0.0007350479261767089,0.0043311576525,-0.003629151161957074,0.0,-0.0004586610838071185,-0.38894632480681574,0.006002665584050041,-0.0026843343478608057,-0.0034919576171327034,0.0016373689220677058,-0.0010670598135962084,-0.00460002310546324,-0.0018075567577618022,-0.0038273320217724746,-0.0010671965242161601,-0.001065952219767416,-0.0038867602588797995,0.0016280381557315076,-0.002682990595201488,-0.0010001956584249469,-0.0009975986863875119
1,2013-11-01 01:00:00,-0.10611455956263684,0.006114559553749949,-0.008317120793787922,0.0034434975000000017,44.57518278815001,63.63494529544999,-0.4079342854101112,54.1050640418,3.642495880564481,3.642451949573298,3.6400151866661776,3.7146063387727075,3.8321235240822835,3.842877993156757,3.849703685555491,3.853506240552299,3.84577228810643,3.8433799728564817,3.8388908683124354,3.8379386085880767,3.836689702521485,3.6437150316433056,3.602165163386951,3.5928324220777226,0.0,0.0013470895903703256,0.0,-0.00041773372328864116,0.0,-0.0005906361547599466,0.0,0.0004675033525423488,0.0,-0.000891433637555559,0.00207483727624995,-0.002447030411222659,0.0,-0.0007973783879062977,0.0,-0.0009088659673242198,0.0040397222774999995,-0.003429610831246768,0.0,-0.0006490246199893872,-0.7754681708816347,0.010073189743262611,-0.0050405169909638675,-0.006538687597582204,0.002549172331941338,-0.0019492558582354432,-0.008915541466519086,-0.004126441266441609,-0.007776728213095078,-0.0019495078312549686,-0.0019472329617646728,-0.008255994178493606,0.003088071032367872,-0.0058843262657751454,-0.0018271321064986642,-0.0018223926508549033
2,2013-11-01 02:00:00,-0.10517946568338792,0.0051794656812498,-0.008635189150921747,0.003127927500000001,26.69681874635001,45.75658125364999,-0.40796482271413875,36.2267,3.642478427031549,3.6424367613721462,3.640014493545572,3.7146068629170164,3.8321215613008817,3.8428778550285476,3.8497041271699466,3.85351004432173,3.8457716435050253,3.8433844210489863,3.8388920130572823,3.8379380522208404,3.8367003522881733,3.6437124419740754,3.602202719761601,3.5928780628603967,0.0,0.00055610539181847,0.0,-0.00045418730612279697,0.0,-0.0005633932839153568,0.0,0.00036828904294946825,0.0,-0.0008684585342764384,0.0017848978787499,-0.00224771297632604,0.0,-0.0008312963754312859,0.0,-0.0009381318568082989,0.0033945678024999,-0.002871061012493416,0.0,-0.0007853422369089981,-1.1585821056000802,0.011339216591425675,-0.007452812130352586,-0.009406073553749334,0.003161394153223131,-0.0027506054068509563,-0.013061622897281612,-0.006713470562892351,-0.011775657233239863,-0.002750963037999714,-0.0027477513563862895,-0.012656805594861303,0.004296548348598876,-0.009505705435564405,-0.0025782940354394483,-0.0025716101242304803
3,2013-11-01 03:00:00,-0.1042044783956225,0.0042044783924998505,-0.008821176172251642,0.0029431799999999997,28.42003278815001,47.47979529544999,-0.4079810650477914,37.9499140418,3.6424607164547114,3.6424209825940737,3.6400134533974535,3.7146071499193987,3.832120348215014,3.8428777595629025,3.849704090567547,3.853508910225695,3.8457712786336047,3.8433869727608796,3.8388933819978623,3.8379389129314507,3.8367172119836765,3.6437102687300675,3.602227054728923,3.5929079649494566,0.0,-0.0002641964416688741,0.0,-0.0005088977359720468,0.0,-0.0005487239129636895,0.0,0.00030965353439935047,0.0,-0.0008707032048422626,0.0018079366862499,-0.0023075588190108196,0.0,-0.0008506069210309354,0.0,-0.0008931079108692213,0.0023965417062499503,-0.001986828039530362,0.0,-0.0009002067173558125,-1.5381428246347888,0.009662215222927529,-0.010019421055412363,-0.01217321782227599,0.0035961157655276152,-0.0035046241316334585,-0.017168930725651583,-0.009394873593525723,-0.015801483373670856,-0.0035050817011990816,-0.003500988306131639,-0.016837548869417306,0.005115693868089123,-0.01350073757482163,-0.003285094209394843,-0.003276581782093371
4,2013-11-01 04:00:00,-0.10376233026748616,0.00376233025874985,-0.008833855948536713,0.0029299500000000006,43.95835272545001,63.01811523274999,-0.4079783888208068,53.4882339791,3.642452102562496,3.642413822245269,3.6400127621035097,3.7146071372421767,3.8321202099824854,3.8428779266562696,3.8497041621580514,3.8535094871446667,3.845771265854122,3.8433876351128293,3.8388938593366406,3.837939533374267,3.836724269101759,3.6437095598476947,3.6022276147176733,3.5929081362725266,0.0,-0.0006336896568113697,0.0,-0.0005453694524860117,0.0,-0.0005499290762336832,0.0,0.00030858300921672474,0.0,-0.0008674700899635625,0.0017726700324999,-0.0022778354274977123,0.0,-0.0008515407785026721,0.0,-0.0008607715725868948,0.00198966022624995,-0.0016169881446900284,0.0,-0.0009388447555746769,-1.9160921426843778,0.006642582566044767,-0.012715576515344527,-0.014941562505948141,0.004030114910988359,-0.004255253470870267,-0.02126039665552626,-0.012094239243850944,-0.019827508932698766,-0.0042558106264656255,-0.004250839445152618,-0.02089080284610728,0.005796106536343098,-0.017633340974247003,-0.003988717328470535,-0.003978384528595413
5,2013-11-01 05:00:00,-0.1044438281174199,0.0044438281074999,-0.008253195105621322,0.0035043899999999987,49.16716472545001,68.22692723274999,-0.40791181659672565,58.6970459791,3.642464365665793,3.6424249678630565,3.6400122390549656,3.714606074259877,3.832123732621765,3.8428785872944653,3.8497038448586194,3.853507488955272,3.8457724789713104,3.8433813945989685,3.838892795407123,3.8379416363829866,3.836717972633788,3.6437127488619083,3.602152323640467,3.592814280936923,0.0,-4.5009400489306535e-05,0.0,-0.000573093997761279,0.0,-0.0006064279026089291,0.0,0.0005008416901346308,0.0,-0.0008850141330513872,0.00202044190624995,-0.0023835018426612126,0.0,-0.0007883114879042646,0.0,-0.0007507921928170093,0.00242338620124995,-0.001947892771839192,0.0,-0.0007739930632166998,-2.296525064815803,0.005627674026371994,-0.015652047180685975,-0.018062031835284986,0.005054118498882181,-0.005153049817528309,-0.02556682987674734,-0.014393572968366034,-0.023757647998910062,-0.005153724466660079,-0.005147704614849109,-0.024668942415932576,0.006724083649758087,-0.021304815400885985,-0.0048302737663263335,-0.0048177593580372245
6,2013-11-01 06:00:00,-0.10477223171782649,0.004772231704999951,-0.006221252251640519,0.005518304999999999,66.83012578815001,85.88988829544999,-0.40768746496080066,76.3600070418,3.6424713008731193,3.6424213416870006,3.640018141045956,3.7146035809597415,3.832112543929208,3.842870770639661,3.8497136086792443,3.8535169489018677,3.845784415781199,3.8433446226549925,3.838886971255582,3.8379564440439533,3.8367146955696714,3.6437201159803108,3.6018523015971207,3.592442433625223,8.8992e-07,-0.00023101245168020233,8.8992e-07,-0.0002638385266332171,8.8992e-07,-0.0007382570402882465,8.8992e-07,-7.488422805941644e-05,8.8992e-07,-0.0003747957221809006,0.0019273339624999502,-0.001888772559654344,8.8992e-07,-0.00016274783845690984,8.8992e-07,2.547209864876746e-05,0.0028377783825,-0.002120879778789178,8.8992e-07,-0.00039153620113979633,-2.678154911976414,0.003449471345647777,-0.017948300232848616,-0.022167612748378217,0.0033607795953398446,-0.00656679201054957,-0.028422519722123465,-0.015662634738707718,-0.02579493275065093,-0.006567641008354667,-0.006559981227520192,-0.02597970041891153,0.008063141598639736,-0.02406869837601561,-0.006155348403097461,-0.006139372227860537
7,2013-11-01 07:00:00,-0.10474269954735749,0.004742699533749901,-0.003581592254990329,0.008142427499998496,73.10616070455,92.16592321184999,-0.40740805676859443,82.6360419582,3.6424690499778833,3.6424019382114756,3.6400218276978062,3.7146168049098502,3.8320893578382895,3.84285261302521,3.8497235300099995,3.8535343430422127,3.8457856426716535,3.84326850585338,3.838853945850693,3.837956042961536,3.8367552696054643,3.6437275088352394,3.6014425889212123,3.5919387382783055,1.3232805e-05,-0.0012447720666184504,1.3232805e-05,-7.086203965515865e-05,1.3232805e-05,-4.6115761666126276e-05,1.3232805e-05,-0.0012794223507990412,1.3232805e-05,0.0001418677670244327,0.00227046559999995,-0.0009795499806936063,1.3232805e-05,-9.916874391116492e-05,1.3232805e-05,3.8117759646398505e-06,0.00236637149374995,1.817007508914263e-06,1.3232805e-05,-9.197858736528933e-06,-3.059676953288796,-0.00301348922837086,-0.020133979493603005,-0.024306160200088966,-0.003571539206103697,-0.008652801924022777,-0.029915165049692643,-0.01277985533287282,-0.0282130260024376,-0.00865387670498458,-0.008643820558142161,-0.027997635988264904,0.015066601202397105,-0.026031915269348133,-0.008110314080571475,-0.008089178945497086
8,2013-11-01 08:00:00,-0.10375504803632371,0.0037550480249999994,-0.003807963315978939,0.0079171275,56.70623570455001,75.76599821184999,-0.40740997799523077,66.2361169582,3.6424492697162956,3.642384204327195,3.640017738851967,3.714614974989472,3.832093278527912,3.8428529505856073,3.849722862788431,3.8535453021258608,3.8457894545682327,3.8432875025574704,3.8388623880553587,3.837957236585636,3.836759760728251,3.6437234850060336,3.6014320417820276,3.5919218618948054,0.0001095102,-0.002173021295251547,0.0001095102,-0.0002858326591867149,0.0001095102,-0.00014378256675127407,0.0001095102,-0.0010691568886554155,0.0001095102,0.00010389821324027422,0.0016085304112500001,-0.000411691046331625,0.0001095102,9.99683191637114e-05,0.0001095102,6.581191326859248e-05,0.00127043601375,0.00023157078579628214,0.0001095102,-0.00022572808786337304,-3.4375994522380826,-0.012452070790478635,-0.022697028675517497,-0.026394074204878312,-0.009271606236661581,-0.010681092369415703,-0.031125518251754226,-0.010201714586389413,-0.029437256085810708,-0.01068239653527888,-0.010670004758365026,-0.02935046366701863,0.01880436603706617,-0.028378569343769512,-0.010011180523490435,-0.0099850258357856
9,2013-11-01 09:00:00,-0.10518351074307841,0.00518351073374985,-0.0035806112680985772,0.008143184999999997,46.45505674635001,65.51481925364999,-0.40738890674515077,55.984938,3.6424687326956193,3.642402962231596,3.640014990952501,3.714610372021439,3.8320906188071127,3.8428495500713873,3.849719962178683,3.853551848201363,3.8457858526371633,3.8432801066145448,3.8388580390858884,3.8379546291073403,3.8367595255813622,3.643722452719554,3.6014054215163602,3.591890948725006,0.0003303435,-0.00119060514068499,0.0003303435,-0.00043053022220738627,0.0003303435,-0.00038711255898892655,0.0003303435,-0.0012070200044736734,0.0003303435,-5.084015691796669e-05,0.00125275627249995,-8.177059282589449e-05,0.0003303435,-8.978143610479698e-05,0.0003303435,-7.159415460920816e-05,0.0012880064612499,0.00021527873611138572,0.0003303435,-0.0002866357339889994,-3.8207271013148993,-0.017562874416537182,-0.02503779754452008,-0.0286215331043611,-0.014711471568231143,-0.01276729468413276,-0.032139440775743246,-0.0077812729300638355,-0.030599902281695148,-0.01276883261477931,-0.012754040173243136,-0.03044094039019271,0.022489213663219456,-0.030197410776806956,-0.011966307896411926,-0.011934988002382782
