,Timestep,P Feed,P DER,P Local Gen,P Local Dem,FT,GT,Surplus,Spot,PI,Shadow Price 0,Shadow Price 1,Shadow Price 2,Shadow Price 3,Shadow Price 4,Shadow Price 5,Shadow Price 6,Shadow Price 7,Shadow Price 8,Shadow Price 9,Shadow Price 10,Shadow Price 11,Shadow Price 12,Shadow Price 13,Shadow Price 14,Shadow Price 15,DER1,gP1,DER2,gP2,DER3,gP3,DER4,gP4,DER6,gP6,DER7,gP7,DER8,gP8,DER11,gP11,DER12,gP12,DER13,gP13,Alpha0,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,Alpha6,Alpha7,Alpha8,Alpha9,Alpha10,Alpha11,Alpha12,Alpha13,Alpha14,Alpha15,Balance N0,Balance N1,Balance N2,Balance N3,Balance N4,Balance N5,Balance N6,Balance N7,Balance N8,Balance N9,Balance N10,Balance N11,Balance N12,Balance N13,Balance N14,Balance N15
0,2013-11-01 00:00:00,-0.10367842728310525,0.0067797363075,0.09974752141508428,0.004165080000000001,65.78295485777696,84.37182114222304,-53.76891559248865,75.077388,-66.05602175774821,65.09906449056515,100.91888792900164,114.38979246467593,178.1238838059891,263.6119240525664,279.3232857640669,290.21216910967553,295.2806203166786,284.42017749082,281.79217429832937,286.7818112878002,290.7195373336718,291.52440826871685,124.75148169613175,191.9339281056459,210.16382478203582,0.0,0.009983185274315146,0.0,0.009969355427360067,0.0,0.009965050123887199,0.0,0.009964643584226586,0.0,0.009974555099513007,0.0024485786550000003,0.00997764752634729,0.0,0.009979195277605275,0.0,0.009972207929826199,0.0043311576525,0.009973424956382503,0.0,0.009980813096980292,0.09093323944103943,0.09092259292469648,0.09091481458731326,0.09091175866044635,0.09090049988008427,9.191324402433052e-10,0.09090168457907297,0.09089991780493491,0.09089545390530558,9.117559783629829e-10,9.362972450976522e-10,0.09089752334891336,0.0908977182709861,0.09092479195291343,9.32460424925555e-10,9.442690544236598e-10,-12.756056667003067,-0.6191908805368209,-0.4894046786427966,0.1277961101762619,0.9555049223729029,-9.745803127015547,1.2174883733654953,1.9911497950948522,1.1632518408752177,-9.746031783749466,-9.746968748369373,1.223049547963273,2.491862190204878,-0.3890166324184241,-9.72332556705148,-9.723220287754554
1,2013-11-01 01:00:00,-0.09827341796952346,0.006114559553749949,0.09973373050267789,0.0034434975000000017,44.81063089957695,63.39949718402305,-55.17032475214401,54.1050640418,-66.05589417785683,45.13157177735033,51.069493937823076,66.09107958035813,139.42775523362792,236.87531105696627,252.57209924767847,261.711837924727,265.79466808054036,262.84568836445834,259.1860455261137,263.8279117379329,267.0284969516299,267.45052626917544,47.16032771405528,89.05964529772513,96.13799488139223,0.0,0.00998856719234454,0.0,0.009965001306478911,0.0,0.009959412125220082,0.0,0.009962276477540485,0.0,0.009973513804618889,0.00207483727624995,0.009978537840962826,0.0,0.009981263943420787,0.0,0.00997222172519744,0.0040397222774999995,0.009970760995903265,0.0,0.009985618967063611,0.09092956027668045,0.09092272798422456,0.09091592023246636,0.09091069600726362,0.09090086951284874,-1.6128512623466815e-10,0.09090176545556256,0.09090031155467308,0.09089653652627984,-1.6017163382336502e-10,-1.6386629015092747e-10,0.0908982306505304,0.09089839219237383,0.0909249904208481,-1.6327492544385e-10,-1.6510617726958141e-10,-23.19772389517562,-1.7195077231693645,-1.4441294803825375,-0.11331639464795096,1.6627883553140994,-19.473447184960616,2.170874414805581,3.5376952242297404,2.1302708416895304,-19.474118816855707,-19.47483420731719,2.2291844850025697,4.580163691735458,-1.528481213159922,-19.41406619499874,-19.41059224674199
2,2013-11-01 02:00:00,-0.09218221142310717,0.0051794656812498,0.09844694454804737,0.003127927500000001,26.932266857776956,45.52113314222305,-56.45014084464178,36.2267,-66.05584221325701,28.38551073549423,28.195349370463962,47.762115319896985,119.27864392544046,209.70388452345182,223.41956979745626,231.92347890980486,236.13189775247506,225.263120799146,224.57130315409395,230.26840396435458,236.21677616829993,237.98795134048285,9.294595513128357,62.109570984205114,74.70932767988285,0.0,0.009962789529956509,0.0,0.009963646603956964,0.0,0.00996587549066226,0.0,0.009968327443898327,0.0,0.009967390765353657,0.0017848978787499,0.00996834848705129,0.0,0.009979090019115677,0.0,0.009972112871393265,0.0033945678024999,0.009969907111735545,0.0,0.008734847131217971,0.09092805498359251,0.09092245937470493,0.09091637832701005,0.09091039196930314,0.09090119400000765,-9.766595170041695e-10,0.09090196187911881,0.0909006332588955,0.09089720096541705,-9.673333890526596e-10,-9.9844149929238e-10,0.09089870596700851,0.09089884797192281,0.0909241762480247,-9.935355960562319e-10,-1.008654295428748e-09,-31.820692299902372,-3.043181500746716,-2.5763991269836195,-0.5471913666058708,2.111257916264392,-29.189494810808384,2.8374217770049093,4.667561057087292,2.7349678131309814,-29.189422011759483,-29.19013442401507,2.9400158775161773,6.113650873390908,-3.0487606838424686,-29.097408556682502,-29.091571722322605
3,2013-11-01 03:00:00,-0.09304666463913394,0.0042044783924998505,0.09929958353357732,0.0029431799999999997,28.655480899576954,47.24434718402304,-56.588249302963526,37.9499140418,-66.05579991665127,29.948034672274538,29.18552166237817,49.294178973054585,121.43167558108914,212.4741008490126,226.18661689019618,234.60362742105826,238.7620467328909,228.65279098240464,227.79678354899,233.38724337956955,239.14950472882308,240.83510611939568,9.294611125160811,62.06120151284778,74.61664067051234,0.0,0.009964062662536825,0.0,0.009964673100141236,0.0,0.009966875036488888,0.0,0.009969578133037945,0.0,0.009969111025583614,0.0018079366862499,0.009970043295863922,0.0,0.009981476639549437,0.0,0.009973388123313118,0.0023965417062499503,0.009971037134811933,0.0,0.009574706440684855,0.09092692693965906,0.09092164891421468,0.09091591991535361,0.09091034728049827,0.09090166070443761,-9.34965874220585e-10,0.09090238576113147,0.09090113697080575,0.09089790359424725,-9.260108807535052e-10,-9.558798555369966e-10,0.0908993230349868,0.09089945742250755,0.09092329419623255,-9.511701194259855e-10,-9.656837326344968e-10,-40.613507931616745,-4.3567463575763234,-3.693035119490059,-0.9584372918829898,2.589615024592447,-38.90332339700595,3.5333846837957665,5.836599404904932,3.376095376435817,-38.902560463963944,-38.90319796486746,3.6826874484438625,7.447429817328503,-4.561059211114389,-38.77996738394799,-38.77160712627343
4,2013-11-01 04:00:00,-0.09863195304219759,0.00376233025874985,0.0997714577240247,0.0029299500000000006,44.19380083687696,62.782667121323044,-55.71339795086285,53.4882339791,-66.05578369650895,44.448097787074865,49.6181343774955,65.18227216464332,139.3601955072068,236.95322537879227,252.1942981690095,260.8977908458382,264.8221965203364,262.21063737138854,258.78010583944103,263.4168888087224,266.772793419993,267.2782254189179,45.36968524584914,87.37727405266084,94.53358059596312,0.0,0.00999234668771342,0.0,0.009967991205294398,0.0,0.009963180972531863,0.0,0.009966607121459692,0.0,0.00997698319906555,0.0017726700324999,0.00998142842015379,0.0,0.009986072864749146,0.0,0.009975863591088367,0.00198966022624995,0.009974204137434606,0.0,0.00998997907465931,0.09092657121501967,0.09092082865041447,0.09091505164007854,0.09091047047450065,0.09090201611355386,-1.595658634320961e-10,0.0909027809561069,0.09090154705303802,0.09089832204679828,-1.5827395657113936e-10,-1.6262142906744479e-10,0.09089976677273327,0.09089990530717697,0.09092274057710906,-1.619185584993127e-10,-1.6410045061000878e-10,-51.00373654581108,-5.469217863738172,-4.654128321270646,-1.1948985107758476,3.3067100314624525,-48.62215181945704,4.4885888720382985,7.301356121810487,4.347021929916427,-48.62159369148291,-48.62191550254794,4.6963175743065655,8.995373624943412,-5.716092463849814,-48.467303128481014,-48.455358750163974
5,2013-11-01 05:00:00,-0.10014062170342945,0.0044438281074999,0.09973843012770207,0.0035043899999999987,49.402612836876955,67.99147912132304,-55.36025324430028,58.6970459791,-66.05590248594933,49.376439090255204,60.68837150312981,74.86028965285021,144.6302372846398,240.85322117787965,258.37927068988097,270.0642805275017,275.2915331728729,268.8966075926939,264.6977756440295,270.3867462549027,274.0259781252061,274.539141844363,58.762858390773296,103.06594656923804,111.90320061533504,0.0,0.009984405244443082,0.0,0.009970592996780187,0.0,0.00996402143673257,0.0,0.009962766896703737,0.0,0.009973565909099792,0.00202044190624995,0.009979344716759566,0.0,0.009975197407725636,0.0,0.00997391317069283,0.00242338620124995,0.009973903090883612,0.0,0.009983445550179618,0.0909298069873116,0.09092245150716967,0.09091560000638006,0.09091083716536298,0.09090094112145433,2.1129199345738747e-11,0.0909018592549375,0.09090038150135649,0.09089655006925997,2.104509936484544e-11,2.1488256127810995e-11,0.09089829275799999,0.0908984598520451,0.09092481966995386,2.1404582734837107e-11,2.1681211666373342e-11,-61.9547743172308,-6.476139475718142,-5.523338897328891,-1.385316990261721,4.051848964086931,-58.35224382875133,5.522279851459899,8.94432450679777,5.3703301586264445,-58.35224456512787,-58.352386741909584,5.769980188245238,10.737365445539496,-6.7427103674417666,-58.16160578963621,-58.14664982875053
6,2013-11-01 06:00:00,-0.1021633013443979,0.004772231704999951,0.09964510773925471,0.005518304999999999,67.06557389957696,85.65444018402304,-54.603287266236094,76.3600070418,-66.0563008748282,66.66332146917584,104.47464623268154,117.81889574465268,180.24875980353642,264.0716505974875,279.9751811481532,290.9642931493203,296.024428366039,284.5089515220101,281.91115065391807,286.7937917908503,290.61360307850094,291.3872502940582,130.08628340216038,198.5640386295683,217.2194330119384,8.8992e-07,0.009972699199361081,8.8992e-07,0.009959048202481894,8.8992e-07,0.00995459866927925,8.8992e-07,0.009954181945135008,8.8992e-07,0.009964876662566884,0.0019273339624999502,0.009968102652075778,8.8992e-07,0.00996864056790532,8.8992e-07,0.009962061831247235,0.0028377783825,0.00996342569167481,8.8992e-07,0.009969980202328706,0.09094080162251993,0.0909263346511722,0.0909159568236376,0.09091256465809792,0.09089811604192613,1.2469098122780264e-09,0.09089967287518039,0.0908973140250352,0.09089146671712647,1.236845762169891e-09,1.2703344333451134e-09,0.09089418157866748,0.09089441639011514,0.09092916831560362,1.265098263234485e-09,1.2812149051606424e-09,-74.77253227087992,-7.071476550813334,-5.991297362907418,-1.2549541731580858,4.985646992485215,-68.12352143023537,6.718447610344084,10.760909448350734,6.506347178662363,-68.12383716153336,-68.12532672237927,6.963366404916373,12.763220363743063,-7.093264095585884,-67.90477845166494,-67.8915187329814
7,2013-11-01 07:00:00,-0.09931038177062333,0.004742699533749901,0.09945570762285463,0.008142427499998496,73.34160881597695,91.93047510042304,-54.82412453189555,82.6360419582,-66.05682677472191,73.46965952207289,117.77428721003504,131.58043542915723,191.13239931438986,271.1267859363988,288.1064780309717,299.93034812165575,305.2223714473497,290.3759223722397,287.99487673618466,292.9314933338979,296.7793728884522,297.59969445690774,148.09051685532495,220.13220695468678,239.9211019105357,1.3232805e-05,0.009950548158673102,1.3232805e-05,0.009939744649905873,1.3232805e-05,0.009935507279079513,1.3232805e-05,0.009934910203023626,1.3232805e-05,0.009947595432930344,0.00227046559999995,0.009951287108165747,1.3232805e-05,0.009950765026294127,1.3232805e-05,0.009943606290627518,0.00236637149374995,0.009945691033553843,1.3232805e-05,0.009947331143383246,0.09095497897868385,0.09093168006616811,0.09091633212036561,0.09091435649973627,0.09089452132212171,2.1205721029811404e-09,0.0908968113698176,0.09089327830897696,0.09088489571980976,2.102966474676671e-09,2.1615643939423453e-09,0.09088880065582786,0.09088904703934861,0.09093528720013273,2.1523933699706253e-09,2.1806330993242814e-09,-88.07702949726809,-7.561126498512109,-6.3511466532581915,-1.0550338157081915,5.938086722721369,-77.94804253801307,7.947035234579834,12.73011943245179,7.646846344042148,-77.94798324947634,-77.95195270846247,8.162642927725685,14.66914974339182,-7.298712584539631,-77.69460966613138,-77.68693667907588
8,2013-11-01 08:00:00,-0.09757600772301116,0.0037550480249999994,0.09940760120106905,0.0079171275,56.94168381597696,75.53055010042304,-56.240147058650315,66.2361169582,-66.05682315563844,57.39220287478006,81.3647643011452,96.0254295981416,159.47783898212606,244.98111969957813,261.57292510394893,273.8608715043067,279.5426882175312,269.0972631394438,265.7153045050521,271.98886682816806,276.43056737400985,277.3460322416742,93.02879966790573,150.9340599150324,165.90857930642917,0.0001095102,0.009950520558050404,0.0001095102,0.009938849048375147,0.0001095102,0.009934967867706576,0.0001095102,0.00993255622297105,0.0001095102,0.009938916592275297,0.0016085304112500001,0.009943002144184579,0.0001095102,0.009934757711561538,0.0001095102,0.009940530317455511,0.00127043601375,0.009941408689513742,0.0001095102,0.009952082766312438,0.09095438006899262,0.09093553417398309,0.0909198742421999,0.09091298352637327,0.09089295395412815,6.886396334372712e-10,0.09089495865994178,0.09089153506601136,0.09088322649190879,6.836400519242238e-10,7.00234711077484e-10,0.09088697646301522,0.09088722048838453,0.09094035338905826,6.976682342873012e-10,7.055513683917711e-10,-99.68528892766642,-8.385037190022153,-7.0352631717092535,-1.1351527382948525,6.671366925202168,-87.75565911415168,8.958277952765474,14.216328643674709,8.612588345185443,-87.75737683442655,-87.7631237041395,9.200350915766133,16.03581544729786,-8.012333677572503,-87.44463001565605,-87.43970340043586
9,2013-11-01 09:00:00,-0.09360378802079664,0.00518351073374985,0.09936429130933536,0.008143184999999997,46.69050485777696,65.27937114222304,-56.67113597805847,55.984938,-66.05689718167054,47.879458598043136,58.17185388713434,71.49860850087492,139.09044726217687,231.92985966952742,249.00499394675415,259.9006978276569,264.6806035911881,259.4349866065422,255.19417382469885,260.2254606426388,263.23371094198103,263.5426299476789,56.742375513858406,99.94831224021117,107.68599343070623,0.0003303435,0.009951822619917321,0.0003303435,0.009932633432795927,0.0003303435,0.009924941995273596,0.0003303435,0.009924923607854193,0.0003303435,0.00993690629029012,0.00125275627249995,0.009942980464998929,0.0003303435,0.00993585046492939,0.0003303435,0.009936224996972876,0.0012880064612499,0.009935499594263831,0.0003303435,0.009948122406593055,0.09095614028230589,0.09093888630772184,0.09092230230322114,0.09091236131581751,0.09089137760480097,-3.693173203205311e-10,0.09089337406984811,0.09088983991805058,0.09088124633454685,-3.6735146852063975e-10,-3.734112961674182e-10,0.09088504780072557,0.09088528520415075,0.09094414071676223,-3.7250760522895e-10,-3.752423975126776e-10,-110.17526802749803,-9.418231296284212,-7.93881501910556,-1.3820564692023174,7.326515120486883,-97.56107120728656,9.889658977514308,15.440638930181269,9.540170517763082,-97.56534972713865,-97.57202390539048,10.16553962984238,17.25422208092545,-9.060750980792392,-97.16946365410024,-97.16369149215643
