,Iteration,Local,Global,P0,Q0,U0,DA0,P1,Q1,U1,DA1,P2,Q2,U2,DA2,P3,Q3,U3,DA3,P4,Q4,U4,DA4,P5,Q5,U5,DA5,P6,Q6,U6,DA6,P7,Q7,U7,DA7,P8,Q8,U8,DA8,P9,Q9,U9,DA9,P10,Q10,U10,DA10,P11,Q11,U11,DA11,P12,Q12,U12,DA12,P13,Q13,U13,DA13,P14,Q14,U14,DA14,P15,Q15,U15,DA15,Cost15,Prime15,Dual15,Flow15,Relative Surplus15
0,0,1.1688261032104492,0.010067462921142578,0.013308825956114375,0.37762699483080736,1.2343764867678494e-09,199.63238934171562,0.013918141537858636,0.7351952957964633,0.28000288721995314,199.63238934171562,0.18323796365263015,0.4461132907026245,0.17203386330326012,43.20132229450575,0.2471539440651146,0.23787995273949564,0.3135637792555621,2748.2299200673865,0.22208023262626145,0.3171722890710459,0.2980686400710705,2488.2470780668687,0.1354669658760116,0.192708156075233,0.01367445527832879,2030.8020415180333,0.03736068721112427,0.056598984504725496,0.004099957877214423,69.89497827453624,0.03706896908386862,0.0563338885997925,0.00011596507223187515,556.0345362580293,0.06061927405995966,0.0854808409351349,0.0011500409046168354,909.2891108993949,0.09275217992455892,0.13093437107839842,0.035811478828122544,883.9605389428403,0.04844716819798319,0.06918213027241144,0.007985769574077947,572.2539878080058,0.05843061120243263,0.08852943722163567,0.0077570083238851,447.91650715134534,0.05022400824114804,0.07694904503369182,5.129486633978961e-05,753.3601236172206,0.31776654478615646,0.44692566703864134,0.2062115657413647,43.20132229450575,0.45305028237100126,0.23307517648185452,0.15140320400257265,4766.302389426398,0.3229354057375568,0.2313795019059909,0.000352915877746695,4844.031086063353,0.0,0.0,0.0,0.0,0.0
1,1,1.1000213623046875,0.008196115493774414,0.0007434198120223341,0.11766246364682485,1.7389642523455887e-11,191.86027696755627,0.17850397349961422,0.12815420635738778,0.3595941931726935,191.86027696755627,0.11481481640364548,0.3377673672678437,0.2204770685794469,1363.4936723543242,0.07387985482199244,0.3622352966281931,0.14559353368695557,3854.067366590164,0.06363388987877988,0.16189447096205253,0.1225188910471165,2415.956320533556,0.10710870080624668,0.15462972218185697,0.04648202699516846,1080.27638199805,0.08883134528499274,0.12842535906852062,0.001634061108438152,1365.078050327454,0.020840155082786426,0.030871102893817014,0.001125671292050401,868.6368596769626,0.05205172170348112,0.07343819910820702,0.009627660670160108,1690.064676878252,0.05519978699364134,0.0777211385444246,0.05334731703002408,835.4511094148314,0.047727587611283706,0.06979652597581612,0.016763183988563156,843.5701560986772,0.04532118010595951,0.0673025522801339,0.0012202261424281704,214.66930931135482,0.010161395869555013,0.01656018064581048,0.0008294199232336023,905.7810616544778,0.2244706559192439,0.12347123109436453,0.176270855243857,2372.584805980618,0.16208604371174426,0.17256458934410684,0.01939675194951906,2335.047357607989,0.0007003577822513981,0.12818651326058664,0.013712743428883442,4850.841442838484,35317.70688827769,0.0,0.0,0.0,0.0
2,2,1.0314085483551025,0.0,0.08229627879472355,0.2070485830503766,8.379983288697333e-12,1054.2423089487913,0.14285665039608,0.2510367101570515,0.3079386410026506,1054.2423089487913,0.11808955840523591,0.1047334219474996,0.2351733114098041,3114.961803099352,0.0440112532916954,0.10039879312162821,0.11037471831269342,3589.474421623754,0.07585115902876174,0.03942668192092283,0.11968959981821652,1811.1312186599628,0.05773963583191111,0.045460090125459075,0.06324554250293295,263.5656808426458,0.04933211295267939,0.07104966809350202,0.017532778420621658,1653.3373282585933,0.0454348564351534,0.06496735405897472,0.0028476928330798228,1550.1597057346132,0.017122694804537306,0.02359176469689136,0.018314061176417592,1946.9041093240426,0.04535352116651383,0.04331044467685407,0.07117134705423987,323.9144717759984,0.05666903823545924,0.08313008767937555,0.022369463813340713,1211.1953669557288,0.05158362362759794,0.0758813374007621,0.0056110669794733545,981.0367130185939,0.00708653459362124,0.01063828784775315,0.0020824091662551367,1012.079080552887,0.16428967945604814,0.13784269093616455,0.10129540342971184,2356.3525633009867,0.18355929797887477,0.04664947394121445,0.01910916205001162,129.5946436146681,0.08187961507498023,0.04663670599195763,0.012475310489740004,3622.695818357266,33856.453687493056,0.7130146361256905,0.5528187827910886,11.808604122094462,-96.55311995223002
3,3,1.1008141040802002,0.008062601089477539,0.0252581412869329,0.1283063082339674,6.504954631855545e-12,1432.7778496735275,0.07011860890205283,0.1563724282206415,0.18105141820757004,1432.7778496735275,0.05503543431637288,0.05734399417446576,0.21320787455923795,3631.710576753676,0.0561509541909485,0.05358248239730059,0.1493933879900059,2945.701082598425,0.04863130710345059,0.05836546682500196,0.060763297409937994,1268.0263229976822,0.034638644329482216,0.037814583433744,0.04259612836640831,178.30672516512547,0.044320647706202594,0.05745632071901418,0.036804371537182426,1380.003912485502,0.040401196384632417,0.0573099923118028,0.009071518605558332,2156.1776514332073,0.01834548954919645,0.012433359054466183,0.022903621700678497,1671.7229227422506,0.02624352944558079,0.042446606936633206,0.056984489084626666,119.19136607987916,0.0398992148451368,0.06473607768913277,0.030126547079148087,1404.347092882291,0.04158212171523075,0.06053968438670005,0.014034497051175033,1547.4759732810428,0.01740707664005623,0.024637480607720252,0.005060040706693844,1273.1852301525942,0.10232812994146084,0.10032950342914079,0.04833848448312086,1522.4810463404804,0.12147980046757463,0.1533518514115958,0.0514368369589559,1417.8515768009643,0.08589543366834394,0.13980126263449674,0.030769019792698537,2334.318473876157,36694.99457009805,0.24859428662780464,0.3758114256081614,70.73616612138477,-547.5614954476492
4,4,1.1501705646514893,0.0020151138305664062,0.03165457414229418,0.027481611877357627,1.8736891578308953e-11,959.1920011313714,0.09171106554793464,0.08167072461334855,0.07127442587720086,959.1920011313716,0.08357497060575424,0.1056697565752022,0.14588349208081758,2721.309401868012,0.06219229856949837,0.08201098061392975,0.10639033128535548,2083.991342139591,0.02492444903053878,0.049047105520301934,0.01755900173813909,910.6617760932975,0.02127416855499156,0.04257766361694206,0.02784124041656369,287.73214209652946,0.023476105648046065,0.03183374244955079,0.033344974070079046,1080.2420591087937,0.012318976701799617,0.027589663541809986,0.020201402077245228,2340.9623019396895,0.034912068879072077,0.033898728129683316,0.009439234476179533,1148.0429669182931,0.034948700230044476,0.04499039250768516,0.03175180034146335,128.64724357406544,0.019552401310075303,0.03613320066865866,0.03027024371513061,1382.6450291050837,0.03308663049920265,0.051629076442423046,0.022458696553498334,1839.927902639459,0.026731575394504877,0.037599642683923386,0.009201471975622757,1674.1588610688634,0.06291453704521756,0.04034900090156075,0.052112082476231614,607.6873659853735,0.07360538541785352,0.14866383833529992,0.06879863617875785,1647.1608447912818,0.07199951382614761,0.1480666735867463,0.05379378148150373,1254.446607075933,37812.75747242485,0.15773146571243654,0.3192256588740057,118.23708684396718,-914.8773758304678
5,5,1.1510143280029297,0.008010625839233398,0.05178691543124841,0.061023793372781306,2.2564317106141188e-11,195.7776539487701,0.13228809586901538,0.10653882568373008,0.010016022863693057,195.77765394877005,0.13559971337853813,0.12726810360269936,0.06889418571525802,1089.59873289245,0.08470245431216561,0.09803583859719273,0.07260680875508578,870.1060771142502,0.025556588686578514,0.04578109124557416,0.037966580180937896,535.6022777316123,0.011840986226049401,0.035341615258806955,0.007377322060583921,215.97088954034686,0.020542395948027967,0.025856414456484077,0.020814395487499353,917.7697973091274,0.017454766613737287,0.00880581277007183,0.019813307519424235,2079.1408027343878,0.03437423787531682,0.04572148562866968,0.01105947594547699,632.4312784244861,0.03652817655574114,0.056130602647539864,0.00232448324834764,94.96734612515466,0.013470200523410124,0.024525109230666964,0.024793804679807067,1200.3899564518447,0.027731087925186856,0.04436135355789588,0.02470440819311725,1927.0897275962743,0.027115244843328303,0.041451801646546785,0.013112459797177815,2080.8875337178265,0.058310195568375064,0.05591237993665315,0.04666952664462388,214.99874178455943,0.06581146993691421,0.14051419027606696,0.057039486140887954,1340.022682895112,0.06254077330964197,0.13011154326178384,0.05182635563968218,317.25831726573,36455.07821350248,0.15732344515335028,0.2566920696342712,135.16090412175367,-1048.2633484493892
6,6,1.0916471481323242,0.00805974006652832,0.04611580832081762,0.1023153745625339,7.942984149508746e-12,518.4761803841835,0.12849572163993153,0.14145200434804894,0.057395731399548865,518.4761803841834,0.14976350442119268,0.13744159491666294,0.03140999909706738,584.4827824016915,0.10796448748335052,0.1086249242261749,0.04649716891717431,629.5906241687054,0.04203274297077606,0.05291425622160847,0.04853420109971863,75.90497316891954,0.011669712851859084,0.032158395410223015,0.013393543724414871,93.39739245270664,0.0368312472338959,0.05201120055111937,0.006667553905987034,792.803530356262,0.03587663786576934,0.04212856887259011,0.006546045290629,1540.991234753163,0.027071125866977522,0.04971798743306911,0.01818672156475418,226.36896586176576,0.03296964717509459,0.06311778081504327,0.011908810853128069,2.8012980148685385,0.01797036715632126,0.03305618815312508,0.018205564376375685,933.732220132856,0.01862571024533496,0.032762490978597285,0.02012100263128253,1887.7446271484102,0.018439985435399046,0.03272462953841514,0.013206301300105465,2357.4873152430823,0.05194001968324255,0.0870919352862605,0.031435871988450645,875.1862235302629,0.06220528593894868,0.14396590846664564,0.025808553217846867,930.1204000350376,0.05587094726781284,0.11539598120946767,0.025317922023435455,522.8960493067159,34639.850375877504,0.16922354925212174,0.18091871920079522,127.57480477459421,-992.0277975300775
7,7,1.1115732192993164,0.008012533187866211,0.031340546384905965,0.1155731374105453,1.6894508239921252e-11,985.6970601259878,0.10004867024560293,0.1513425697262856,0.07993158016547422,985.6970601259878,0.13650266139119416,0.13766616881018706,0.0650445296764621,1929.4515959693251,0.11823470491188375,0.11501227254492596,0.04143997409792489,2172.822624479219,0.05891194301676592,0.060405607920896956,0.05627950154230094,949.781583724531,0.016192078911068906,0.03616690646648415,0.026836816255541306,34.70960593813613,0.04431608797364202,0.07496222130833372,0.005613117479261372,586.4547172426344,0.04212684572495967,0.06568139041106759,0.0051292696414716454,909.0885489076115,0.01878147324244985,0.04612537710324024,0.010785310040367698,55.37696573967342,0.02571565862853911,0.05982631292593391,0.01613071388941479,25.791614261409787,0.01958089180033333,0.03882796398734834,0.013320166944500063,671.7551716614623,0.009901238251652157,0.020027539504788732,0.012455840958521407,1754.9518365171211,0.004434095773265189,0.013093404620811844,0.008501468397931516,2423.998751818769,0.037988938055134445,0.08442203325221836,0.019855731051600888,1344.4567502015962,0.049793328273508075,0.13332330085630845,0.009387320210700928,607.9107421460485,0.044900187006972195,0.1048756628787322,0.003848698205770167,1195.9966034994113,33826.12740265476,0.16726296577034436,0.10440928387107153,106.22308847137572,-829.1585441153552
8,8,1.051468849182129,0.00804758071899414,0.017096036409085687,0.09974828299722148,1.1353018701053249e-11,1241.4669937376916,0.06542311550302425,0.13723142886667375,0.08649765437701981,1241.4669937376916,0.10718137188832441,0.13037969524727586,0.08887408430896063,2837.905047919695,0.11014637294680064,0.11399165335056145,0.04926111539309834,3499.209993980694,0.06684915064950743,0.06291191909288431,0.05728401958901456,1934.8873382613542,0.0218955778247697,0.04184802089887278,0.03125643251553328,177.30459859362966,0.045533840272921754,0.08790925985143268,0.011627085494412713,290.5913113656127,0.04104004096476047,0.07731053614008065,0.006520019720235559,293.4879356450705,0.009670378676001175,0.036057958352656044,0.0023065877281388657,200.41561873038052,0.017721163995584585,0.04826313370467082,0.025513217062770314,95.56837517719154,0.01890167951222585,0.040647821225463655,0.011100486109644753,484.9273151160125,0.01796761437118069,0.028358055507049368,0.005151483780752434,1541.6871658942302,0.010986057332308018,0.012148566300066641,0.0024275472705423806,2259.2078918401367,0.022468089427953388,0.06547682332697204,0.018025834138127177,1612.4048143364853,0.030668504043222713,0.10612026165242759,0.02581559193555138,404.8924546804757,0.027476936914993786,0.0890393231207304,0.02043915535998057,1608.0997644667939,34139.79627741806,0.14554125709756827,0.08407244072935524,79.46598141380991,-622.6097162310681
9,9,1.1123039722442627,0.008027791976928711,0.006397789953644759,0.06991954219890517,1.174483316380943e-11,1337.2801889424693,0.03396987288546433,0.11158209247460531,0.08623428048052317,1337.2801889424693,0.07015902407213802,0.11554250308572667,0.09519534576978282,3329.6931924642354,0.08569206864505868,0.10427239503115283,0.05341518815693861,4429.606252043088,0.06259918095307304,0.0588446363331921,0.05048785590398568,2821.77081031531,0.023300876140153987,0.04614571500430151,0.02793260066095691,345.57621979426875,0.04176660520955505,0.09115366282192405,0.015516515682575007,15.749890853491278,0.036433070171091396,0.07866319527925637,0.0006170582265987763,253.00812508063942,0.001006532690087447,0.02217590266029156,0.012903577094186111,185.32848395706273,0.01810080386502478,0.03343548762876359,0.03511060403849849,354.0428296171289,0.019094987038461082,0.0424479740324795,0.010743147248240707,403.2353388553172,0.030725829694906837,0.05047839881549359,0.0025481733481902123,1267.1620152300782,0.024680435596511403,0.03703378506794807,0.0017740841507706084,1889.001357899527,0.008839222429554667,0.04761323836192957,0.017829237030427388,1704.8306959914999,0.009380829162364063,0.06666923720290331,0.02789881091301069,311.7908465811291,0.006919787284908425,0.06171541190677615,0.022482493524210317,1711.784754996839,34769.56838024643,0.10933805013719401,0.13330516453962135,51.3146962611563,-408.50481292702807
