,Iteration,Local,Global,P0,Q0,U0,DA0,A0,P1,Q1,U1,DA1,A1,P2,Q2,U2,DA2,A2,P3,Q3,U3,DA3,A3,P4,Q4,U4,DA4,A4,P5,Q5,U5,DA5,A5,P6,Q6,U6,DA6,A6,P7,Q7,U7,DA7,A7,P8,Q8,U8,DA8,A8,P9,Q9,U9,DA9,A9,P10,Q10,U10,DA10,A10,P11,Q11,U11,DA11,A11,P12,Q12,U12,DA12,A12,P13,Q13,U13,DA13,A13,P14,Q14,U14,DA14,A14,P15,Q15,U15,DA15,A15,Cost15,Prime15,Dual15,Flow15,Relative Surplus15,FLEX15
0,0,2.384598970413208,4.099641561508179,0.013505894138207915,0.37762693411029835,6.526751786450488e-15,202.58833697889585,0.03784517344195736,0.014025896945266812,0.7351952280175638,0.2800023580137756,202.58833002037366,0.03784519137154914,0.18323179508647203,0.4461132581606592,0.17203350502856624,40.13291218668926,0.03784518091236814,0.24714997754234058,0.23787999264849136,0.3135634707287401,2748.1839167974326,0.037846447908467674,0.2220792584286521,0.3171723364112096,0.29806838394158897,2488.2087279682355,0.03784637844807389,0.13546804573063925,0.19270818873430332,0.013674440191177402,2030.8176284746635,0.30375269706511426,0.037365475524618316,0.056598982786323755,0.0040998872072231475,69.91805762610657,0.03784542945160961,0.03707359282224489,0.056333893199029476,0.00011568038756006628,556.1038480446574,0.037846616238019715,0.06062236202485567,0.08548084255143702,0.0011504774158902509,909.335338471432,0.03784676442691001,0.09275484817242582,0.13093438722573056,0.03581147611263841,883.976139760623,0.30375269706511426,0.04844621792117875,0.0691821410637395,0.00798574750822292,572.2539824565571,0.3037526970651143,0.05843379911155141,0.08852943978118938,0.007756933462841824,447.8933511357895,0.037845528417021324,0.050228641413132415,0.07694904461649624,5.1229851582620976e-05,753.4297279815912,0.03784545028656434,0.31776321609493796,0.44692563364036925,0.206211393862472,40.13291218668926,0.03784518091236814,0.45304919698796947,0.23307517397206093,0.15140319849391937,4766.279132431537,0.3037526970651143,0.3229354075454009,0.23137950485560738,0.0003529168573446696,4844.031097008553,0.3037526970651143,0.0,0.0,0.0,0.0,0.0,1.530966567247448
1,1,2.5228116512298584,4.124692678451538,0.0009107143320672912,0.11766249048481228,5.982855804246281e-15,191.98036484954864,0.03437668692049541,0.17822723887070346,0.12815296729986306,0.35957462753438507,191.98033693385122,0.034376684211465426,0.1142068395267862,0.33777539322657296,0.22046110647482728,1357.3620482669373,0.03437732490503394,0.07319828951232925,0.3622456426459371,0.145545916083926,3843.4583535162074,0.03437669547132821,0.06365677320000297,0.1619012682620765,0.12251489116260182,2411.264586389057,0.03437551347499877,0.10711039785869322,0.1546305894507295,0.04645299742101121,1080.3113222861664,0.2759088676208699,0.08883515260715373,0.1284259696165755,0.0016503314084579674,1365.1470508906853,0.03437656287557789,0.02084368909619077,0.03087111071320568,0.001125942067397134,868.759180629694,0.03437551872945693,0.052053320126344546,0.07343821708246674,0.009556620592088007,1690.1348175342828,0.03437553507437673,0.05520195507711538,0.07772126247595695,0.05336131359688443,835.49361071797,0.2759088676208697,0.04773046762692716,0.06979634375743146,0.016834676531984963,843.6056127931953,0.27590886762087036,0.04532400234567009,0.0673022549632787,0.001186023587794334,214.72456300344228,0.0343763926539068,0.01016466448454115,0.01656018018707073,0.0008200107466793226,905.8998026654305,0.03437674176647941,0.22462328064642265,0.12346630918797248,0.1762304856133981,2366.4671267023964,0.034377790850869075,0.16249159552742073,0.17256202454922898,0.019422042429233538,2328.9474260151665,0.27590886762086986,0.000700858294543201,0.12818651152403465,0.013716138142520855,4850.8528358119,0.2759088676208692,-4.15893758,0.0,0.0,0.0,0.0,2.921552056695005
2,2,2.339472770690918,4.156090021133423,0.08192808743988803,0.20705233676779053,4.351167857633658e-15,1048.5963807803244,0.02949071135328292,0.14226481279377423,0.2510408677253455,0.30791522438818314,1048.5963408789623,0.029491268228438564,0.11767022179650177,0.1047284861380039,0.2351298492716165,3101.7658748475783,0.02949094842686713,0.04459766820604972,0.10039608348758397,0.11039346718075708,3574.292914382839,0.029490348724178113,0.07576387892858422,0.03942441557483717,0.11970740064858952,1798.8595228284228,0.029490918325228488,0.05745166735593847,0.04546000789808186,0.06325938887752518,268.24897833727505,0.23669530070013,0.04933452784787372,0.07104489845009618,0.0175195588874312,1653.5095849269542,0.029491005444541217,0.0454345728335489,0.06496062100734322,0.0028586074637715797,1550.2776981940333,0.029490726833644478,0.01712355484376511,0.023591543393645623,0.018331832199333587,1946.9871601129132,0.029490855359680296,0.04512478966697283,0.04330956535842948,0.07116884914464065,328.60664522502225,0.236695302030519,0.05667302132136729,0.08312962307516428,0.02235669039238885,1211.273202226669,0.2366952980126263,0.05158644440867119,0.07587993499568271,0.005633354382826064,981.1378932029841,0.029490861373607246,0.007085050787806546,0.010630948129277182,0.002063492553085923,1012.1755641674415,0.029490609936570305,0.16445465968227133,0.13784618849109898,0.1013321383010295,2345.440032681688,0.029490152003123778,0.18361572700007042,0.04665301661706408,0.019146716689717975,138.55966569881676,0.2366952988444526,0.08168378619330459,0.046640164188702954,0.012521529362941916,3625.6507583695447,0.23669530069774047,-6.67730105,0.0,0.0,0.0,-112.19802742152466,4.114513749467959
3,3,2.408173084259033,4.076908111572266,0.025111593872764734,0.1282974416478955,4.351167857633658e-15,1424.931077117023,0.02347885344471023,0.0698651386156613,0.15636796087435434,0.18104416583160313,1424.9310004006222,0.023479044887863315,0.055094668743038505,0.05734724710510393,0.21319523004137816,3613.8738090615357,0.023478920221270686,0.05657141284038803,0.05358742867297794,0.14941643684275938,2925.7962419538394,0.02347858214933927,0.04860933241866614,0.05836881158048588,0.060813042420712185,1251.6927577375477,0.02347889796713444,0.034322181586251145,0.03781357680211925,0.04261614497318175,169.60501779024509,0.18845810403900745,0.04425665932168218,0.05745302639506746,0.03679925662125428,1382.5381529696863,0.023478890018911753,0.040401815507460616,0.05730699646069345,0.009070278705724773,2156.304991312458,0.023479091435734546,0.018242568392766514,0.012433180149030753,0.022941116171360135,1673.3497401380644,0.0234787881244994,0.026111880509961095,0.042451899945410314,0.05700483772190856,127.20785647031538,0.18845883328126964,0.039931734465289456,0.06473059124759659,0.030112064132004117,1406.0033209479404,0.1884313339943528,0.04158125042244248,0.06053243822604172,0.014052531597604064,1547.5558912139675,0.02347895838337073,0.017408057925675843,0.02463546173156547,0.005071002704508259,1273.2964787375956,0.02347886726146726,0.10217933438657452,0.10033048194496527,0.04836694988846262,1512.541845701017,0.023478354483544146,0.12119017074168086,0.15336106717223114,0.051464640323259654,1424.3717411289583,0.18843133399589201,0.08562208743504007,0.13981424035797413,0.030797355970778012,2341.4086624893953,0.188457764420933,-54.27358936,0.0,0.0,0.0,-558.0191076705942,5.064129813821479
4,4,2.5223453044891357,4.039641380310059,0.03159335158618593,0.02748698033633912,4.351167857633658e-15,952.3023643374994,0.01666525751113046,0.09174317182040186,0.08168211486038675,0.07129109068705133,952.3022340588685,0.016665078567632326,0.08376643131528232,0.10568003116874111,0.1458841633745699,2702.6704985584847,0.016665065729480552,0.062455223694975845,0.0820164609003473,0.10640115755794259,2061.002272475978,0.016665114013609286,0.025038800559690277,0.04908356357411389,0.01758376225992492,891.9091413416975,0.016665206468226064,0.021043556301262333,0.042631712365533626,0.027852953012809566,276.42413348186665,0.13375859678662333,0.023364914345643757,0.03186016138041021,0.0333560081286491,1085.5169485285758,0.016665221725618535,0.012402336460982983,0.027596742160504714,0.02019617435976157,2342.3400532449955,0.016665375588359836,0.03472205202722597,0.0339017920423062,0.009469087037913312,1152.519679394625,0.016665071137812484,0.03475611096842297,0.04499604696171455,0.03177849822488139,138.97605327863576,0.13375900588174183,0.01959784570484729,0.03613578679479624,0.03027107074315506,1386.4178370525597,0.1337629961200845,0.033119766197916074,0.051628826047675346,0.022469888687734012,1840.8494647167056,0.01666534528186044,0.02673172457060352,0.037596200155542395,0.009221455450014926,1674.272376740339,0.016665351680498763,0.0629490787766881,0.04035357711358912,0.052106916157445185,597.7494691086254,0.01666547110194637,0.07350337326601679,0.14874649037363072,0.06879492670058933,1654.5868414858676,0.13376299694479335,0.07188244441850489,0.14814968468530354,0.05378388470430891,1263.3762076639018,0.1337584333879469,-93.06068556,0.0,0.0,0.0,-923.3232699980526,5.738086920338158
5,5,2.2413504123687744,4.147071123123169,0.05172706664701411,0.06101085835163267,3.807271875429452e-15,190.93844348225528,0.009398451433156377,0.13220866171503282,0.10653625791162877,0.00998977599425937,190.938277331862,0.00939813676146543,0.13554648934888028,0.12728173262747677,0.06890898130616849,1072.549416338676,0.009398074160380313,0.08474656736827596,0.09804455439653866,0.07264330085967144,847.2209847391478,0.009398340368123065,0.025651676885149848,0.045792465684800686,0.038017778046455224,515.9339115745197,0.009398407512930595,0.011708972785535073,0.035365163478585246,0.007379896212200447,202.3782949573125,0.07543577883172457,0.020289556412483842,0.025879890046310427,0.02082501631957898,926.2910663326912,0.00939838705532282,0.01729117266761209,0.00882890667747582,0.01982035561554831,2082.9724645668052,0.00939839323059755,0.03414211354633007,0.045727216439765066,0.0110346949708002,640.389350592599,0.009398279415138933,0.036248401187956025,0.05614577556523419,0.002369308775326571,107.2686669591457,0.07543594458584688,0.013367376613560786,0.024529223158720026,0.024803816388215116,1206.5766106964795,0.07544095873661559,0.0277769655070327,0.04435895406952213,0.02471731865666022,1929.4759896323574,0.0093985137208648,0.027141144700640454,0.041449433994170275,0.013125766406419208,2081.389637810223,0.009398567170643411,0.058288743112873534,0.05595395246147776,0.04666147453751088,227.1269007044652,0.009398481050521275,0.06568844296852991,0.1405455336140561,0.05701414248783005,1349.6852310767424,0.07544095933010216,0.062456957847139165,0.13012772102487358,0.05179848008701862,327.98331802748953,0.07543577187663601,-107.28743255,0.0,0.0,0.0,-1055.766012761903,6.118175223040623
6,6,2.5447144508361816,4.085384130477905,0.0458790528007524,0.1023260199373299,4.351167857633658e-15,521.7964834129513,0.00203365793891333,0.1277962228277981,0.14145898742712495,0.057365706469469924,521.7966508518932,0.0020336849530010795,0.14899311268237533,0.1374528583599224,0.03141792816546401,593.0127037217333,0.002033420880202636,0.10756066188488339,0.10864461466288022,0.04655128683446705,647.0731595710422,0.00203346062175025,0.04204557712483029,0.052938249692254226,0.048592676878740255,98.36332685495387,0.002033629732102107,0.011607878558619006,0.03216189846849909,0.01340540386312694,78.47293038891014,0.016329205482261203,0.03654044873708908,0.05203951140185386,0.006674690947384747,804.427858986942,0.0020335764850836734,0.03562580006685322,0.04216193312040198,0.00655691001199934,1548.585450627538,0.002033499516349768,0.02684759495377422,0.049740984629330416,0.018169381428044917,237.68084626922362,0.00203355148799732,0.03266912629640884,0.06314814726277286,0.011913623367779826,18.362193736853502,0.016329070454531396,0.017781561834755304,0.03306821140676024,0.018227791447539634,942.4952467750628,0.016334988418653527,0.018681769191478126,0.03275998156106354,0.020134285087376542,1892.070643325913,0.0020336901663356613,0.01851452326309731,0.032721903063931954,0.013212640473379165,2359.1075437179243,0.0020337526517416027,0.05172498369196147,0.0871196750886807,0.03143057500044681,883.7740523751482,0.0020336529595926093,0.06206737637615528,0.14397824667188952,0.02578740218984572,942.0130134890982,0.016334988710571846,0.05578211417929262,0.11538738983753016,0.025298119432588643,512.1498774191962,0.016329340498475477,-101.41385305,0.0,0.0,0.0,-992.3133649468297,6.200447496282771
7,7,2.385063409805298,4.10687255859375,0.031207684312406062,0.11554543845095583,4.351167857633658e-15,986.6138280557033,0.00012713555978951559,0.09962480366161434,0.15131964159977682,0.07988573464391156,986.6139942083905,1.4302641644013446e-05,0.13568989042898472,0.13767451137563227,0.0649670731052046,1932.1526096492707,3.9100808528357284e-05,0.11731143098396417,0.11502764768644638,0.04144816680776289,2178.216415772976,6.179654780610452e-05,0.05840692768302522,0.06042053483737424,0.056333154962344034,962.1742681846214,8.145821221469276e-05,0.016076676914404866,0.03618035174095956,0.02684458238039981,52.74394595345873,0.00011312617575522933,0.04396567563681105,0.07499089162555216,0.005609235977487645,600.8842544681725,9.985820995478678e-05,0.04181900756163548,0.06570665060217397,0.005116531581557472,921.3003212338267,4.775580091177965e-05,0.017983360328642974,0.046142183238915904,0.010819088261555847,33.78093527404591,7.49695552973074e-05,0.025013509250155667,0.05985711651243164,0.01615742187101627,14.411385770471835,7.827396277241866e-05,0.019360707481274272,0.03885771376956444,0.013369807697426721,683.0591893551914,6.132555952276158e-05,0.009824539266818134,0.02003392872915229,0.012472424580683747,1761.5778790536708,5.465596648117862e-05,0.004565031505494264,0.013089396123007142,0.008505571833200092,2427.583029255144,8.025031977639958e-06,0.03783149779799471,0.08443267562427172,0.019877123811366533,1349.8733335663833,6.469658376278722e-05,0.04969960469610315,0.13331527157070536,0.009409336668080881,619.9313596533344,5.9354720649587356e-05,0.044791691138058864,0.10485245875947773,0.0038655442894362253,1183.3460740855592,6.066578524950249e-05,-84.47051566,0.0,0.0,0.0,-829.6492259795699,6.200137691115521
8,8,2.4044418334960938,4.069429874420166,0.017046549190028387,0.09974457304177906,4.351167857633658e-15,1241.3300294015958,0.00014137684052538377,0.06505295493133566,0.1372167659265985,0.08644463375050014,1241.3301285459843,7.015240896804561e-05,0.10654656978627385,0.130361547858937,0.08877732054495147,2835.3289704571202,1.5975834302886392e-05,0.10936721207291536,0.11398263177648942,0.04922580435637742,3496.5088601569473,9.978284059256485e-05,0.06622159347172824,0.06291891974806263,0.057271690231232936,1938.3359561718707,4.3409612366211244e-05,0.021603334512541924,0.04186605312637396,0.03126242959887115,189.61349872631914,5.894683440306837e-05,0.04516859366593458,0.08793141923324573,0.011630584483850483,307.7935565622738,3.9693198515026426e-05,0.04072264655456738,0.07732596327783647,0.006508029551334174,310.46061718537413,3.203680904680642e-05,0.00930701343128172,0.036069939222720046,0.002298401896993075,172.19407124433502,5.505810750772643e-05,0.01723613561393952,0.04828576791607787,0.025504187619972772,110.60608959883923,9.974171854216458e-05,0.018529667480552642,0.04067682414881357,0.011136529108479001,501.7492505998448,9.576568656174156e-05,0.01771207512284607,0.02837941298164928,0.005184467968837445,1551.0002126642305,5.514740968694355e-05,0.010799817721168576,0.012156295420239778,0.00243468389011926,2265.585898173096,6.696277223341877e-05,0.02241586278221245,0.06546764641697148,0.01807133949320109,1615.5599379163393,4.263916047198959e-05,0.03066071271336244,0.10610369786735517,0.025849670915552545,415.63088048543017,6.171146424536603e-05,0.027416459797230206,0.08901787727125254,0.020456225862502384,1594.5014287406875,0.00010073198365113969,-62.90441376,0.0,0.0,0.0,-620.1838434774545,6.199849367989347
9,9,2.445439338684082,4.136582136154175,0.006337086414004202,0.06993389351910284,4.351167857633658e-15,1335.982839039001,2.96335754343368e-05,0.033720367672437856,0.11157904359892523,0.0861891279603575,1335.982957728156,1.5180919002237769e-05,0.06971648311434667,0.11553266644136667,0.09511111469406211,3323.763845825843,1.6358835339496286e-05,0.0851943778535845,0.10425291854219866,0.053369085550239004,4421.109076368185,2.9432010963603135e-05,0.06225962485950639,0.05881588699675242,0.05038469795709527,2820.4275321177965,1.963641546199496e-05,0.022945727585823732,0.046162305896277775,0.027899845117983147,355.0282948839881,1.4380238704544039e-05,0.03953050849320753,0.0911682375255534,0.015507277971549832,11.552400074360794,1.4838966259345225e-05,0.03402915342265512,0.07867052213132138,0.000530503665874183,200.3652316399779,2.4216830479168504e-05,0.0010104265896193345,0.02218726273564851,0.012888722809606205,157.31941593041367,3.81316419503722e-05,0.018009991447047444,0.03344766843550199,0.03505788898660003,368.48125691299913,2.5043331211594332e-05,0.01874015991740744,0.04246801833743333,0.01074853081685696,423.6353966926565,1.3643440241691598e-05,0.03035964635925846,0.05050269186243345,0.002555431548965454,1281.022732487641,2.938628858302217e-05,0.024448480593762558,0.03704805926259789,0.0017569505104996995,1898.858777799469,9.313118128378295e-06,0.008829664208602565,0.04759862925095714,0.017889441650582545,1705.8409633837364,3.626837530985779e-05,0.009486961588773678,0.06664474039757673,0.027953131350192346,320.9279154025502,3.613704576411025e-05,0.006951995536425894,0.061691600536583124,0.02251183373691834,1698.7155378387488,1.3002506172994132e-05,-40.85589523,0.0,0.0,0.0,-419.13938393102507,6.199802725860724
