,Iteration,Local,Global
0,0,2.4064133167266846,0.0
1,1,1.750119686126709,0.01562643051147461
2,2,1.7188713550567627,0.0
3,3,1.6876130104064941,0.0
4,4,1.7344951629638672,0.015625
5,5,1.718867301940918,0.0
6,6,1.734494686126709,0.015624046325683594
7,7,1.7344937324523926,0.0
8,8,1.7113258838653564,0.015619039535522461
9,9,1.6876161098480225,0.0156252384185791
10,10,1.750124216079712,0.0
11,11,1.7970104217529297,0.0
12,12,1.751753568649292,0.015624523162841797
13,13,1.703242301940918,0.0
14,14,1.8466136455535889,0.01562786102294922
15,15,1.7657699584960938,0.0
16,16,1.818373203277588,0.01561880111694336
17,17,1.6876182556152344,0.0
18,18,1.812636375427246,0.0
19,19,1.8126115798950195,0.0
20,20,1.6901850700378418,0.0
21,21,1.7969965934753418,0.015624523162841797
22,22,1.765749454498291,0.0
23,23,1.768399953842163,0.0
24,24,1.6876177787780762,0.0
25,25,1.8282504081726074,0.015623807907104492
26,26,1.768425464630127,0.0
27,27,1.7032403945922852,0.0
28,28,1.812626600265503,0.0
29,29,1.7813708782196045,0.015623807907104492
30,30,1.7813730239868164,0.0
31,31,1.6905107498168945,0.0
32,32,1.8594980239868164,0.0
33,33,1.7501220703125,0.015624523162841797
34,34,1.673548936843872,0.0
35,35,1.8422794342041016,0.0156252384185791
36,36,1.7657489776611328,0.0
37,37,1.7813708782196045,0.015625476837158203
38,38,1.7032384872436523,0.015629053115844727
39,39,1.8282480239868164,0.015627622604370117
40,40,1.7501211166381836,0.0
41,41,1.6876120567321777,0.0
42,42,1.8126249313354492,0.0
43,43,1.7657480239868164,0.015625715255737305
44,44,1.7845795154571533,0.0
45,45,1.6876137256622314,0.0156252384185791
46,46,1.8126261234283447,0.015625953674316406
47,47,1.7766478061676025,0.0
48,48,1.6876134872436523,0.015633344650268555
49,49,1.8282413482666016,0.0
50,50,1.765747308731079,0.01562643051147461
51,51,1.783745527267456,0.0
52,52,1.7032394409179688,0.015624284744262695
53,53,1.8465800285339355,0.0
54,54,1.7657549381256104,0.0
55,55,1.7500982284545898,0.0
56,56,1.828249216079712,0.0
57,57,1.781374454498291,0.015622615814208984
58,58,1.7657439708709717,0.01563286781311035
59,59,1.721165657043457,0.015624761581420898
60,60,1.8282527923583984,0.0
61,61,1.7657203674316406,0.0
62,62,1.718864917755127,0.015625715255737305
63,63,1.8156852722167969,0.0
64,64,1.7501239776611328,0.015624523162841797
65,65,1.7657439708709717,0.0
66,66,1.7032444477081299,0.015625
67,67,1.8282480239868164,0.0
68,68,1.7835688591003418,0.015625476837158203
69,69,1.6876146793365479,0.015627384185791016
70,70,1.8640286922454834,0.0
71,71,1.781364917755127,0.0
72,72,1.7501237392425537,0.015624046325683594
73,73,1.7188680171966553,0.0
74,74,1.844181776046753,0.0
75,75,1.7654423713684082,0.015623331069946289
76,76,1.6586296558380127,0.015624046325683594
77,77,1.843876600265503,0.015639305114746094
78,78,1.7501108646392822,0.0
79,79,1.7827470302581787,0.015633106231689453
80,80,1.703233003616333,0.0
81,81,1.8282513618469238,0.0
82,82,1.7742385864257812,0.015628576278686523
83,83,1.7032427787780762,0.015623331069946289
84,84,1.8595030307769775,0.015633106231689453
85,85,1.7838661670684814,0.01563405990600586
86,86,1.7657406330108643,0.015625476837158203
87,87,1.6876156330108643,0.0
88,88,1.814878225326538,0.0
89,89,1.7813694477081299,0.01562643051147461
90,90,1.6899042129516602,0.015630245208740234
91,91,1.828251600265503,0.01562356948852539
92,92,1.7657480239868164,0.015625715255737305
93,93,1.7564122676849365,0.0
94,94,1.7032387256622314,0.015627384185791016
95,95,1.8126251697540283,0.01562356948852539
96,96,1.7358477115631104,0.015624046325683594
97,97,1.687617301940918,0.0
98,98,1.8282480239868164,0.015625715255737305
99,99,1.7524738311767578,0.0156252384185791
100,100,1.7501230239868164,0.0
101,101,1.703240156173706,0.0
102,102,1.8282477855682373,0.015626192092895508
103,103,1.750119924545288,0.015625715255737305
104,104,1.703242301940918,0.015625476837158203
105,105,1.8621675968170166,0.0
106,106,1.7344727516174316,0.015625953674316406
107,107,1.7992892265319824,0.0
108,108,1.6876170635223389,0.0
109,109,1.8478455543518066,0.0
110,110,1.7813680171966553,0.0
111,111,1.7188878059387207,0.0
112,112,1.8282322883605957,0.0
113,113,1.7679791450500488,0.015624046325683594
114,114,1.7501206398010254,0.015625476837158203
115,115,1.7032413482666016,0.0
116,116,1.8306434154510498,0.015622138977050781
117,117,1.734492540359497,0.0
118,118,1.7367479801177979,0.0
119,119,1.8282527923583984,0.0
120,120,1.781371831893921,0.0
121,121,1.7657454013824463,0.0
122,122,1.718153715133667,0.0030634403228759766
123,123,1.8126275539398193,0.0
124,124,1.7501192092895508,0.0
125,125,1.7210335731506348,0.0
126,126,1.796994924545288,0.0
127,127,1.781374216079712,0.0156252384185791
128,128,1.7897288799285889,0.0
129,129,1.7188687324523926,0.0
130,130,1.8282499313354492,0.015626192092895508
131,131,1.768096923828125,0.015624284744262695
132,132,1.6719906330108643,0.0
133,133,1.8282482624053955,0.015627622604370117
134,134,1.7834911346435547,0.0
135,135,1.750119686126709,0.015622615814208984
136,136,1.6719884872436523,0.01562786102294922
137,137,1.8149261474609375,0.015623807907104492
138,138,1.7657477855682373,0.0
139,139,1.694246530532837,0.0
140,140,1.828249454498291,0.015624523162841797
141,141,1.7501194477081299,0.015624761581420898
142,142,1.7813758850097656,0.015623331069946289
143,143,1.7211549282073975,0.0
144,144,1.8438782691955566,0.0
145,145,1.7846064567565918,0.0
146,146,1.7188684940338135,0.0
