,Timestep,Status,Obj,P Feed In,P Feed Out,P Local Gen,P Local Dem,Q Feed In,Q Feed Out,Q Local Gen,Q Local Dem,FT,Lambda Feed,GT,Max Price Diff,Surplus,Spot,GenP[1],GenP[2],GenP[3],GenP[4],GenP[6],GenP[7],GenP[8],GenP[11],GenP[12],GenP[13],GenQ[1],GenQ[2],GenQ[3],GenQ[4],GenQ[6],GenQ[7],GenQ[8],GenQ[11],GenQ[12],GenQ[13],Alpha[0],Alpha[1],Alpha[2],Alpha[3],Alpha[4],Alpha[5],Alpha[6],Alpha[7],Alpha[8],Alpha[9],Alpha[10],Alpha[11],Alpha[12],Alpha[13],Alpha[14],Alpha[15],Balance N0,Balance N1,Balance N2,Balance N3,Balance N4,Balance N5,Balance N6,Balance N7,Balance N8,Balance N9,Balance N10,Balance N11,Balance N12,Balance N13,Balance N14,Balance N15
0,2013-11-01 00:00:00,optimal,2.020781797089315,-6.222088786198653e-12,0.0002220761819741155,0.004387156187833366,0.004165080000000001,0.6397741791245789,0.6386827051979027,0.0011299020733238029,0.0020825400000000003,64.14682420276118,64.14682443964465,84.06027979723883,0,-2.327503467736136e-11,74.10355200000001,2.378437796458105e-14,2.3784411924531316e-14,2.3784411924531316e-14,2.3784411924531316e-14,2.3784411924531316e-14,0.001592873080740253,2.3784411924531316e-14,2.3784411924531316e-14,0.0027942831067839144,2.3784411924531316e-14,-3.975582350859293e-18,-3.975582350859293e-18,-3.975582350859293e-18,-3.975582350859293e-18,-3.975582350859293e-18,0.00040807805085605773,-3.975582350859293e-18,-3.975582350859293e-18,0.0007218240224677965,-3.975582350859293e-18,4.24748791631236e-13,3.236131936218044e-10,3.2361319362222946e-10,3.2361319362222946e-10,3.2361319362222946e-10,3.2361319362222946e-10,3.2361319362222946e-10,0.297831305826483,3.2361319362222946e-10,3.2361319362222946e-10,3.2361319362222946e-10,3.2361319362222946e-10,0.7021686899659614,3.2361319362222946e-10,3.2361319362222946e-10,3.2361319362222946e-10,-0.014245482256447402,-0.01781177703427932,-0.017811777034279316,-0.017811777034279316,-0.017811777034279316,-0.017811777034279316,-0.017811777034279316,0.08436597282907592,-0.017811777034279316,-0.017811777034279316,-0.017811777034279316,-0.017811777034279316,0.16143261084972757,-0.017811777034279316,-0.017811777034279316,-0.017811777034279316
1,2013-11-01 01:00:00,optimal,2.008109937948044,-1.2866730044991403e-12,0.0005231916986333862,0.003966689200838356,0.0034434975000000017,0.8225401782174212,0.8217227165911786,0.001019070373757361,0.0017217487500000008,43.44653426996118,43.446534321824196,63.359989864438816,0,3.9896797671135076e-11,53.4032620672,1.66365218900216e-13,1.6636524136419976e-13,1.6636524136419976e-13,1.6636524136419976e-13,1.6636524136419976e-13,0.001328395439517961,1.6636524136419976e-13,1.6636524136419976e-13,0.0026382937591576472,1.6636524136419976e-13,-5.254050384192565e-19,-5.254050384192565e-19,-5.254050384192565e-19,-5.254050384192565e-19,-5.254050384192565e-19,0.0003457967317866874,-5.254050384192565e-19,-5.254050384192565e-19,0.0006732736419706801,-5.254050384192565e-19,2.169603791817749e-12,5.7791803709404896e-09,5.779180370943908e-09,5.779180370943908e-09,5.779180370943908e-09,5.779180370943908e-09,5.779180370943908e-09,0.49988593132391224,5.779180370943908e-09,5.779180370943908e-09,5.779180370943908e-09,5.779180370943908e-09,0.5001139935445538,5.779180370943908e-09,5.779180370943908e-09,5.779180370943908e-09,-0.036976348403917794,-0.027785645848442383,-0.027785645848442377,-0.027785645848442377,-0.027785645848442377,-0.027785645848442377,-0.027785645848442377,0.1321062820636567,-0.027785645848442377,-0.027785645848442377,-0.027785645848442377,-0.027785645848442377,0.26608346238663383,-0.027785645848442377,-0.027785645848442377,-0.027785645848442377
2,2013-11-01 02:00:00,optimal,2.018918115736855,-1.4659002759576261e-12,0.00022541745299956074,0.003353344954458691,0.003127927500000001,0.5926858105662496,0.5918808090826961,0.0008632265164466356,0.0015639637500000005,25.80007220276118,25.80007223859487,45.71352779723882,0,-1.7464328594396505e-13,35.7568,-9.442857745689698e-14,-9.442859224781487e-14,-9.442859224781487e-14,-9.442859224781487e-14,-9.442859224781487e-14,0.0011441284468799741,-9.442859224781487e-14,-9.442859224781487e-14,0.002209216508806289,-9.442859224781487e-14,-1.1724005455212534e-18,-1.1724005455212534e-18,-1.1724005455212534e-18,-1.1724005455212534e-18,-1.1724005455212534e-18,0.00029747703826981016,-1.1724005455212534e-18,-1.1724005455212534e-18,0.0005657494781768408,-1.1724005455212534e-18,-3.0347207705154045e-13,5.162006237015964e-10,5.162006236983109e-10,5.162006236983109e-10,5.162006236983109e-10,5.162006236983109e-10,5.162006236983109e-10,0.45972575111478675,5.162006236983109e-10,5.162006236983109e-10,5.162006236983109e-10,5.162006236983109e-10,0.540274242174849,5.162006236983109e-10,5.162006236983109e-10,5.162006236983109e-10,-0.04279213501296686,-0.03316569621468448,-0.03316569621468447,-0.03316569621468447,-0.03316569621468447,-0.03316569621468447,-0.03316569621468447,0.15624482827958558,-0.03316569621468447,-0.03316569621468447,-0.03316569621468447,-0.03316569621468447,0.3177013575407266,-0.03316569621468447,-0.03316569621468447,-0.03316569621468447
3,2013-11-01 03:00:00,optimal,2.0294129184131937,0.00023394190602547582,1.0936186293172244e-12,0.002709238095239491,0.0029431799999999997,1.314413993991015,1.3135450339940464,0.0007007360030313128,0.0014715899999999998,27.500934269961185,47.41438983299338,47.414389864438824,0,8.124358824579403e-12,37.457662067200005,1.5609217127834548e-13,1.5609211554387587e-13,1.5609211554387587e-13,1.5609211554387587e-13,1.5609211554387587e-13,0.0011600988345299866,1.5609211554387587e-13,1.5609211554387587e-13,0.0015491392586803065,1.5609211554387587e-13,-4.592968167383373e-19,-4.592968167383373e-19,-4.592968167383373e-19,-4.592968167383373e-19,-4.592968167383373e-19,0.00030131856108126247,-4.592968167383373e-19,-4.592968167383373e-19,0.0003994174419500561,-4.592968167383373e-19,6.663502673060548e-13,1.839202720818166e-09,1.8392027208215235e-09,1.8392027208215235e-09,1.8392027208215235e-09,1.8392027208215235e-09,1.8392027208215235e-09,0.48206392353583855,1.8392027208215235e-09,1.8392027208215235e-09,1.8392027208215235e-09,1.8392027208215235e-09,0.5179360525538931,1.8392027208215235e-09,1.8392027208215235e-09,1.8392027208215235e-09,-0.031699922334254706,-0.04246896846519476,-0.042468968465194754,-0.042468968465194754,-0.042468968465194754,-0.042468968465194754,-0.042468968465194754,0.20194693440688036,-0.042468968465194754,-0.042468968465194754,-0.042468968465194754,-0.042468968465194754,0.3818495779994777,-0.042468968465194754,-0.042468968465194754,-0.042468968465194754
4,2013-11-01 04:00:00,optimal,2.047710359459086,0.0005150559229303835,-4.945400146777223e-14,0.002414894077134162,0.0029299500000000006,1.0042539183001045,1.0033183159963697,0.0006270376962650585,0.0014649750000000003,42.83770516916118,62.75116075833786,62.75116076363882,0,7.1536283841044934e-12,52.7944329664,2.561940395122847e-14,2.5619447743092878e-14,2.5619447743092878e-14,2.5619447743092878e-14,2.5619447743092878e-14,0.0011361975090622032,2.5619447743092878e-14,2.5619447743092878e-14,0.0012786965677389064,2.5619447743092878e-14,-2.0647450773313648e-20,-2.0647450773313648e-20,-2.0647450773313648e-20,-2.0647450773313648e-20,-2.0647450773313648e-20,0.00029543699319785864,-2.0647450773313648e-20,-2.0647450773313648e-20,0.0003316007030672,-2.0647450773313648e-20,2.425627573855963e-13,5.103915164709103e-10,5.103915164714589e-10,5.103915164714589e-10,5.103915164714589e-10,5.103915164714589e-10,5.103915164714589e-10,0.48842193554004265,5.103915164714589e-10,5.103915164714589e-10,5.103915164714589e-10,5.103915164714589e-10,0.5115780578246322,5.103915164714589e-10,5.103915164714589e-10,5.103915164714589e-10,0.0006204346881871631,-0.054726152694513246,-0.05472615269451324,-0.05472615269451324,-0.05472615269451324,-0.05472615269451324,-0.05472615269451324,0.26098746272033957,-0.05472615269451324,-0.05472615269451324,-0.05472615269451324,-0.05472615269451324,0.44983208765187055,-0.05472615269451324,-0.05472615269451324,-0.05472615269451324
5,2013-11-01 05:00:00,optimal,2.064096544908703,0.0006534613471292048,-8.202253961541131e-14,0.0028509286528285807,0.0035043899999999987,0.8596010739173962,0.8584726632926535,0.0007405973752573152,0.0017521949999999994,47.97895316916118,67.89240875916411,67.89240876363883,0,2.7026089699511147e-12,57.9356809664,2.580379806972349e-14,2.5803816477229967e-14,2.5803816477229967e-14,2.5803816477229967e-14,2.5803816477229967e-14,0.0012954656191743212,2.5803816477229967e-14,2.5803816477229967e-14,0.0015554630333188093,2.5803816477229967e-14,1.651670077607094e-20,1.651670077607094e-20,1.651670077607094e-20,1.651670077607094e-20,1.651670077607094e-20,0.00033672216723885256,1.651670077607094e-20,1.651670077607094e-20,0.0004038752080184625,1.651670077607094e-20,1.1290660666730806e-13,2.7893925116804234e-10,2.789392511668572e-10,2.789392511668572e-10,2.789392511668572e-10,2.789392511668572e-10,2.789392511668572e-10,0.46133375820116856,2.789392511668572e-10,2.789392511668572e-10,2.789392511668572e-10,2.789392511668572e-10,0.5386662381725115,2.789392511668572e-10,2.789392511668572e-10,2.789392511668572e-10,0.04498549958136587,-0.07058758458152983,-0.07058758458152983,-0.07058758458152983,-0.07058758458152983,-0.07058758458152983,-0.07058758458152983,0.33307831218199774,-0.07058758458152983,-0.07058758458152983,-0.07058758458152983,-0.07058758458152983,0.539574787830952,-0.07058758458152983,-0.07058758458152983,-0.07058758458152983
6,2013-11-01 06:00:00,optimal_inaccurate,2.2356965508834596,0.0025130392708812743,-1.3994344555200097e-08,0.003005191771042486,0.005518304999999999,1.0027101282080846,1.0005995201329827,0.000832487924898027,0.0027591524999999997,65.41280626996118,85.32626186444058,85.32626186443883,0,-5.116481072112156e-06,75.36953406720001,2.489710085044472e-07,2.4897100788382174e-07,2.4897100788382174e-07,2.4897100788382174e-07,2.4897100788382174e-07,0.0011990233330129096,2.4897100788382174e-07,2.4897100788382174e-07,0.0018040442535673512,2.4897100788382174e-07,1.1123999999999601e-07,1.1123999999999601e-07,1.1123999999999601e-07,1.1123999999999601e-07,1.1123999999999601e-07,0.00034194424033386544,1.1123999999999601e-07,1.1123999999999601e-07,0.0004896537645641616,1.1123999999999601e-07,-5.588427807476369e-09,0.0014163585774550945,0.0014163585773548433,0.0014163585773548433,0.0014163585773548433,9.327351016386914e-12,0.0014163585773548433,0.48881027763926094,0.0014163585773548433,9.327351016386914e-12,9.327351016386914e-12,0.0014163585773548433,0.4998588578748468,0.0014163585773548433,9.327351016386914e-12,9.327351016386914e-12,0.25941494056931247,-0.10195676331458497,-0.10195676331463793,-0.10195676331463793,-0.10195676331463793,-0.10197574736079401,-0.10195676331463793,0.40399606857770815,-0.10195676331463793,-0.10197574736079401,-0.10197574736079401,-0.10195676331463793,0.6621167177273556,-0.10195676331463793,-0.10197574736079401,-0.10197574736079401
7,2013-11-01 07:00:00,optimal,2.5012515024559856,0.005257627843107051,-3.799291093163231e-13,0.002884799654699776,0.008142427499998496,0.6981154811056582,0.694558854800784,0.0007860016951251135,0.004071213749999248,71.60743413556118,91.52088972996842,91.52088973003883,0,-1.658122666947648e-10,81.5641619328,5.263275345265164e-06,5.263275370334592e-06,5.263275370334592e-06,5.263275370334592e-06,5.263275370334592e-06,0.0013923159808511686,5.263275370334592e-06,5.263275370334592e-06,0.001450377466821045,5.263275370334592e-06,1.6540964359949936e-06,1.6540964359949936e-06,1.6540964359949936e-06,1.6540964359949936e-06,1.6540964359949936e-06,0.00037839286121447817,1.6540964359949936e-06,1.6540964359949936e-06,0.0003943760624226754,1.6540964359949936e-06,-1.1314453066709345e-13,0.005217248033107473,0.005217247935689242,0.005217247935689242,0.005217247935689242,4.22287729842766e-11,0.005217247935689242,0.46780339300784,0.005217247935689242,4.22287729842766e-11,4.22287729842766e-11,0.005217247935689242,0.49045862319815703,0.005217247935689242,4.22287729842766e-11,4.22287729842766e-11,0.740597718674296,-0.1511552109628675,-0.1511552109606261,-0.1511552109606261,-0.1511552109606261,-0.15165589457670575,-0.1511552109606261,0.48174191863968574,-0.1511552109606261,-0.15165589457670575,-0.15165589457670575,-0.1511552109606261,0.7451764066443404,-0.1511552109606261,-0.15165589457670575,-0.15165589457670575
8,2013-11-01 08:00:00,optimal,2.45014224836003,0.005811955683228271,-1.5783767754699297e-13,0.0021051718158953373,0.0079171275,0.6196976059892603,0.616064457845873,0.0005893198566127466,0.00395856375,55.42023413556118,75.33368972958601,75.33368973003883,0,-5.4131282789526836e-11,65.3769619328,4.3748802454904915e-05,4.37488022875702e-05,4.37488022875702e-05,4.37488022875702e-05,4.37488022875702e-05,0.0009756205634772186,4.37488022875702e-05,4.37488022875702e-05,0.0007795608319102978,4.37488022875702e-05,1.3688794661414612e-05,1.3688794661414612e-05,1.3688794661414612e-05,1.3688794661414612e-05,1.3688794661414612e-05,0.00026807736547970073,1.3688794661414612e-05,1.3688794661414612e-05,0.0002117321338417295,1.3688794661414612e-05,1.5234197522815527e-13,0.043644619287824905,0.04364461995074996,0.04364461995074996,0.04364461995074996,3.3314838091280823e-10,0.04364461995074996,0.3835873950985602,0.04364461995074996,3.3314838091280823e-10,3.3314838091280823e-10,0.04364461995074996,0.26725564429245124,0.04364461995074996,3.3314838091280823e-10,3.3314838091280823e-10,1.1784337848486093,-0.18762121402832693,-0.18762121403869148,-0.18762121403869148,-0.18762121403869148,-0.19141765632160895,-0.18762121403869148,0.5154772536868442,-0.18762121403869148,-0.19141765632160895,-0.19141765632160895,-0.18762121403869148,0.7641418387051705,-0.18762121403869148,-0.19141765632160895,-0.19141765632160895
9,2013-11-01 09:00:00,optimal,2.370123249351421,0.005387349563672655,2.4722346701237794e-13,0.0027558354325289292,0.008143184999999997,0.6375352144477918,0.6339459638527651,0.0007537814049732817,0.004071592499999999,45.30202420276118,65.21547978765341,65.21547979723883,0,-2.6383828455323055e-10,55.258752,0.00014643505377205987,0.00014643505372147984,0.00014643505372147984,0.00014643505372147984,0.00014643505372147984,0.0007810051448275639,0.00014643505372147984,0.00014643505372147984,0.0008033498399772032,0.00014643505372147984,4.129259764172851e-05,4.129259764172851e-05,4.129259764172851e-05,4.129259764172851e-05,4.129259764172851e-05,0.0002087830285404972,4.129259764172851e-05,4.129259764172851e-05,0.00021465759529896183,4.129259764172851e-05,3.651428192559806e-12,0.07223635455477281,0.07223635474977791,0.07223635474977791,0.07223635474977791,5.676593127619197e-09,0.07223635474977791,0.20882727714184374,0.07223635474977791,5.676593127619197e-09,5.676593127619197e-09,0.07223635474977791,0.21328185666818925,0.07223635474977791,5.676593127619197e-09,5.676593127619197e-09,1.529772371411204,-0.21347549619049272,-0.21347549620415585,-0.21347549620415585,-0.21347549620415585,-0.2268217705397563,-0.21347549620415585,0.531006764471758,-0.21347549620415585,-0.2268217705397563,-0.2268217705397563,-0.21347549620415585,0.7811285695049769,-0.21347549620415585,-0.2268217705397563,-0.2268217705397563
