Date,Time,Left,Right
01/11/2013,09:15:00,0.081897249,0.084956992
01/11/2013,09:20:00,0.086543657,0.078124416
01/11/2013,09:25:00,0.088744902,0.087831742
01/11/2013,09:30:00,0.082338347,0.080278171
01/11/2013,09:35:00,0.081774126,0.089055943
01/11/2013,09:40:00,0.084819173,0.086225908
01/11/2013,09:45:00,0.083314542,0.08880484
01/11/2013,09:50:00,0.083600151,0.101215336
01/11/2013,09:55:00,0.086264695,0.095994762
01/11/2013,10:00:00,0.086915817,0.101804447
01/11/2013,10:05:00,0.091680098,0.108439641
01/11/2013,10:10:00,0.088509087,0.108864153
01/11/2013,10:15:00,0.089810073,0.116567071
01/11/2013,10:20:00,0.087284283,0.130698367
01/11/2013,10:25:00,0.092596878,0.130825863
01/11/2013,10:30:00,0.073798112,0.123010243
01/11/2013,10:35:00,0.075909017,0.134146309
01/11/2013,10:40:00,0.060375924,0.118565305
01/11/2013,10:45:00,0.06901921,0.117375812
01/11/2013,10:50:00,0.061579458,0.113476484
01/11/2013,10:55:00,0.066630725,0.111421496
01/11/2013,11:00:00,0.069142945,0.125482179
01/11/2013,11:05:00,0.062816326,0.133375711
01/11/2013,11:10:00,0.0608148,0.125177824
01/11/2013,11:15:00,0.06606027,0.118642303
01/11/2013,11:20:00,0.07251605,0.130957312
01/11/2013,11:25:00,0.070932993,0.136323943
01/11/2013,11:30:00,0.072135969,0.137430369
01/11/2013,11:35:00,0.068328656,0.142542941
01/11/2013,11:40:00,0.067206466,0.129759615
01/11/2013,11:45:00,0.066586985,0.142069908
01/11/2013,11:50:00,0.07382379,0.146669199
01/11/2013,11:55:00,0.063714587,0.142943813
01/11/2013,12:00:00,0.083096202,0.143464292
01/11/2013,12:05:00,0.07769144,0.13340385
01/11/2013,12:10:00,0.072901625,0.119839742
01/11/2013,12:15:00,0.08565542,0.115381928
01/11/2013,12:20:00,0.073228598,0.11241786
01/11/2013,12:25:00,0.074424901,0.118892816
01/11/2013,12:30:00,0.079652369,0.108539509
01/11/2013,12:35:00,0.073226125,0.098388003
01/11/2013,12:40:00,0.069344615,0.09612087
01/11/2013,12:45:00,0.061230279,0.078581894
01/11/2013,12:50:00,0.068567074,0.084136004
01/11/2013,12:55:00,0.078674525,0.083002547
01/11/2013,13:00:00,0.074118826,0.076671256
01/11/2013,13:05:00,0.084186219,0.083838261
01/11/2013,13:10:00,0.091449153,0.073922441
01/11/2013,13:15:00,0.079656381,0.0925416
01/11/2013,13:20:00,0.078369094,0.091438815
01/11/2013,13:25:00,0.074470909,0.077705176
01/11/2013,13:30:00,0.070306406,0.088624511
01/11/2013,13:35:00,0.073683798,0.079917651
01/11/2013,13:40:00,0.071495973,0.099035358
01/11/2013,13:45:00,0.073296224,0.07877881
01/11/2013,13:50:00,0.077239347,0.076972227
01/11/2013,13:55:00,0.070771894,0.088438555
01/11/2013,14:00:00,0.065563336,0.103931909
01/11/2013,14:05:00,0.079040731,0.085606804
01/11/2013,14:10:00,0.072682716,0.081966919
01/11/2013,14:15:00,0.071436182,0.084633433
01/11/2013,14:20:00,0.077617368,0.094274155
01/11/2013,14:25:00,0.088622494,0.090939147
01/11/2013,14:30:00,0.093383455,0.090156648
01/11/2013,14:35:00,0.081773625,0.08173773
01/11/2013,14:40:00,0.085820052,0.092787155
01/11/2013,14:45:00,0.101637255,0.097763124
01/11/2013,14:50:00,0.092718145,0.116406977
01/11/2013,14:55:00,0.100970953,0.106311321
01/11/2013,15:00:00,0.110065556,0.102940449
01/11/2013,15:05:00,0.105109355,0.126842065
01/11/2013,15:10:00,0.1184552,0.130735333
01/11/2013,15:15:00,0.100590154,0.11897854
01/11/2013,15:20:00,0.10834594,0.115276113
01/11/2013,15:25:00,0.100719936,0.099461324
01/11/2013,15:30:00,0.106576113,0.12337218
01/11/2013,15:35:00,0.106655586,0.112593016
01/11/2013,15:40:00,0.108242333,0.133215348
01/11/2013,15:45:00,0.138335837,0.132165464
01/11/2013,15:50:00,0.118139928,0.123671592
01/11/2013,15:55:00,0.135052299,0.153440625
01/11/2013,16:00:00,0.115948945,0.137707962
01/11/2013,16:05:00,0.134868969,0.13163112
01/11/2013,16:10:00,0.129597456,0.140962898
01/11/2013,16:15:00,0.129901276,0.141236634
01/11/2013,16:20:00,0.113981372,0.149195558
01/11/2013,16:25:00,0.152698482,0.144897209
01/11/2013,16:30:00,0.13629124,0.168998818
01/11/2013,16:35:00,0.144239934,0.181728286
01/11/2013,16:40:00,0.132343896,0.171544531
01/11/2013,16:45:00,0.137251591,0.202563318
01/11/2013,16:50:00,0.144637096,0.169854442
01/11/2013,16:55:00,0.144029074,0.174196233
01/11/2013,17:00:00,0.155991326,0.171729116
01/11/2013,17:05:00,0.147594246,0.170917752
01/11/2013,17:10:00,0.151136119,0.162435574
01/11/2013,17:15:00,0.152316606,0.164482397
01/11/2013,17:20:00,0.144295462,0.147584285
01/11/2013,17:25:00,0.139478372,0.138704625
01/11/2013,17:30:00,0.128170182,0.153377199
01/11/2013,17:35:00,0.122638412,0.156660863
01/11/2013,17:40:00,0.115731987,0.151027711
01/11/2013,17:45:00,0.126435029,0.151300949
01/11/2013,17:50:00,0.117134049,0.136691809
01/11/2013,17:55:00,0.111661699,0.129898237
01/11/2013,18:00:00,0.099265587,0.124476554
01/11/2013,18:05:00,0.093578415,0.122176429
01/11/2013,18:10:00,0.099538332,0.101277949
01/11/2013,18:15:00,0.096473869,0.094591681
01/11/2013,18:20:00,0.085892145,0.091594394
01/11/2013,18:25:00,0.074885347,0.084262686
01/11/2013,18:30:00,0.066672467,0.080035554
01/11/2013,18:35:00,0.063030758,0.071342881
01/11/2013,18:40:00,0.059185552,0.067324889
01/11/2013,18:45:00,0.061029431,0.061861947
01/11/2013,18:50:00,0.060161867,0.06380022
01/11/2013,18:55:00,0.058509557,0.058643528
01/11/2013,19:00:00,0.055707729,0.056497462
01/11/2013,19:05:00,0.049771758,0.059290368
01/11/2013,19:10:00,0.04512859,0.061789952
01/11/2013,19:15:00,0.037209882,0.062372843
01/11/2013,19:20:00,0.033913793,0.064237756
